>>> repeatability probe start 2026-08-17 05:35:53
[preflight] custody controls verified for 1 problem(s); keys sealed and unreadable by execution
[phase: development] results are for post-mortems and convergence checking, NOT for the paper's evaluation table.
[DU1 27b BARE s1] done  calls=79 tok=3867828/35188 857.1s
2026-08-17 05:50:19,663 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:50:19,664 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:50:19,664 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:50:19,665 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:50:19,669 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:50:19,671 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:50:19,671 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:50:19,674 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:50:19,674 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:50:19,677 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 05:50:19,677 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 05:50:19,680 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 05:50:19,680 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 05:50:19,685 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 05:50:19,685 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 05:50:19,685 [oasis] INFO: Starting OASiS MCP server
2026-08-17 05:50:19,694 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 05:50:30,570 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:50:30,571 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:50:30,572 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:50:30,572 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:50:30,576 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:50:30,578 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:50:30,578 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:50:30,581 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:50:30,581 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:50:30,585 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 05:50:30,585 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 05:50:30,587 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 05:50:30,587 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 05:50:30,592 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 05:50:30,592 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 05:50:30,592 [oasis] INFO: Starting OASiS MCP server
2026-08-17 05:50:30,600 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 05:50:33,883 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 05:50:36,252 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:50:36,253 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:50:36,254 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:50:36,254 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:50:36,258 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:50:36,261 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:50:36,261 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:50:36,263 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:50:36,263 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:50:36,267 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 05:50:36,267 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 05:50:36,269 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 05:50:36,269 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 05:50:36,275 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 05:50:36,275 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 05:50:36,275 [oasis] INFO: Starting OASiS MCP server
2026-08-17 05:50:36,282 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 05:50:37,572 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 05:50:40,635 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:50:40,636 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:50:40,636 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:50:40,637 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:50:40,640 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:50:40,643 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:50:40,643 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:50:40,646 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:50:40,646 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:50:40,649 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 05:50:40,649 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 05:50:40,652 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 05:50:40,652 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 05:50:40,657 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 05:50:40,657 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 05:50:40,657 [oasis] INFO: Starting OASiS MCP server
2026-08-17 05:50:40,664 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 05:50:43,918 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 05:50:43,926 [oasis] INFO: Session journal saved: /home/alexander/Schreibtisch/ofa-v2/data/sessions/session_f7344253-69c2-4dfa-979e-6330812a2a1f.json (1 events)
2026-08-17 05:50:49,412 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:50:49,413 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:50:49,413 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:50:49,414 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:50:49,418 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:50:49,420 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:50:49,420 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:50:49,423 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:50:49,423 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:50:49,426 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 05:50:49,427 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 05:50:49,429 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 05:50:49,429 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 05:50:49,434 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 05:50:49,434 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 05:50:49,434 [oasis] INFO: Starting OASiS MCP server
2026-08-17 05:50:49,441 [mcp.server.lowlevel.server] INFO: Processing request of type CallToolRequest
2026-08-17 05:50:49,446 [mcp.server.lowlevel.server] INFO: Processing request of type ListToolsRequest
2026-08-17 05:51:02,607 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:51:02,608 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:51:02,608 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:51:02,609 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:51:02,613 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:51:02,615 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:51:02,615 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:51:02,618 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:51:02,618 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:51:02,620 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:51:02,621 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:51:02,621 [oasis.registry] INFO: Loaded discovered config: 5 backends
2026-08-17 05:51:02,622 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:51:02,622 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:51:02,622 [oasis.registry] INFO: Registered backend: 4C Multiphysics (fourc)
2026-08-17 05:51:02,623 [oasis.registry] INFO: Registered backend: FEniCSx (dolfinx) (fenics)
2026-08-17 05:51:02,623 [oasis.registry] INFO: Registered backend: deal.II (dealii)
2026-08-17 05:51:02,624 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 05:51:02,624 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 05:51:02,626 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:51:02,627 [oasis.registry] INFO: Registered backend: FEBio (febio)
2026-08-17 05:51:02,628 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 05:51:02,628 [oasis.dune] INFO: DUNE-fem backend registered
2026-08-17 05:51:02,629 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:51:02,629 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:51:02,630 [oasis.registry] INFO: Registered backend: NGSolve (ngsolve)
2026-08-17 05:51:02,630 [oasis.ngsolve] INFO: NGSolve backend registered
2026-08-17 05:51:02,631 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:51:02,631 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:51:02,632 [oasis.registry] INFO: Registered backend: scikit-fem (skfem)
2026-08-17 05:51:02,632 [oasis.skfem] INFO: scikit-fem backend registered
2026-08-17 05:51:02,633 [oasis.registry] INFO: Registered backend: SPARTA (DSMC) (sparta)
2026-08-17 05:51:02,633 [oasis.sparta] INFO: SPARTA (DSMC) backend registered
2026-08-17 05:51:02,633 [oasis] INFO: Starting OASiS MCP server
2026-08-17 05:51:02,635 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 05:51:02,635 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 05:51:02,636 [oasis.registry] INFO: Registered backend: Kratos Multiphysics (kratos)
2026-08-17 05:51:02,636 [oasis.kratos] INFO: Kratos Multiphysics backend registered
2026-08-17 05:51:02,638 [oasis.registry] INFO: Registered backend: DUNE-fem (dune)
2026-08-17 05:51:02,638 [oasis.dune] INFO: DUNE-fem backend registered
