x,y,ux,uy,tx,ty
0.000000000000000e+00,6.250000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,-2.655932316800662e-04,-1.034619060456403e-03
6.250000000000000e-02,6.250000000000000e-01,1.599678495474480e-07,1.714287279175825e-09,-2.655932316800662e-04,-1.034619060456403e-03
1.250000000000000e-01,6.250000000000000e-01,2.728827843191671e-07,1.243834805954855e-08,-3.941749575454764e-04,-7.993640168026873e-04
1.875000000000000e-01,6.250000000000000e-01,3.388209018545191e-07,2.734237275747227e-08,-4.871035812646118e-04,-5.442040310844641e-04
2.500000000000000e-01,6.250000000000000e-01,3.586884613111370e-07,4.414175800072442e-08,-5.112609226135274e-04,-3.183574280934922e-04
3.125000000000000e-01,6.250000000000000e-01,3.350905933792852e-07,6.065547776679257e-08,-4.741364133099956e-04,-1.214066863126300e-04
3.750000000000000e-01,6.250000000000000e-01,2.727726492921085e-07,7.518766714393106e-08,-3.830425362299410e-04,4.581229774667240e-05
4.375000000000000e-01,6.250000000000000e-01,1.784917821619552e-07,8.619077796778474e-08,-2.474614027316647e-04,1.797298940197466e-04
5.000000000000000e-01,6.250000000000000e-01,6.102641395560945e-08,9.246496219654453e-08,-7.959830637650848e-05,2.740986292172146e-04
5.625000000000000e-01,6.250000000000000e-01,-6.884566783667039e-08,9.321812637996630e-08,1.055403397093266e-04,3.193570739137864e-04
6.250000000000000e-01,6.250000000000000e-01,-1.983973699416937e-07,8.807165474164378e-08,2.898140401571867e-04,3.015830510225731e-04
6.875000000000000e-01,6.250000000000000e-01,-3.128862851843102e-07,7.726851656469919e-08,4.519590532518719e-04,2.029794604363772e-04
7.500000000000000e-01,6.250000000000000e-01,-3.954840215274298e-07,6.174757441247886e-08,5.691882095281199e-04,-1.104798628884563e-07
8.125000000000000e-01,6.250000000000000e-01,-4.271317160478982e-07,4.245890850632659e-08,6.217863411179829e-04,-3.446880032548332e-04
8.750000000000000e-01,6.250000000000000e-01,-3.880324567056896e-07,2.215096296090902e-08,5.623747788577487e-04,-8.687679609100649e-04
9.375000000000000e-01,6.250000000000000e-01,-2.588715395224232e-07,4.134898371420186e-09,3.730224011959170e-04,-1.444047083887163e-03
1.000000000000000e+00,6.250000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,3.730224011959170e-04,-1.444047083887163e-03
