x,y,ux,uy,tx,ty
0.000000000000000e+00,6.250000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,1.205229946773669e-04,1.241354555533438e-03
3.125000000000000e-02,6.250000000000000e-01,8.578049415469215e-08,4.438960984564267e-10,1.205229946773669e-04,1.241354555533438e-03
6.250000000000000e-02,6.250000000000000e-01,1.601307549956454e-07,3.350750162594690e-09,2.316719696808316e-04,1.082660540595115e-03
9.375000000000000e-02,6.250000000000000e-01,2.230248332083667e-07,7.795879677972414e-09,3.202805531579346e-04,9.356910765625814e-04
1.250000000000000e-01,6.250000000000000e-01,2.742442650381207e-07,1.346989334309611e-08,3.914520082042579e-04,7.968091092567407e-04
1.562500000000000e-01,6.250000000000000e-01,3.136506780480168e-07,2.011687072311013e-08,4.465479383620934e-04,6.655555948801208e-04
1.875000000000000e-01,6.250000000000000e-01,3.412899322821868e-07,2.754781008204001e-08,4.852545624322456e-04,5.403951636666336e-04
2.187500000000000e-01,6.250000000000000e-01,3.573285048923971e-07,3.548365429447726e-08,5.072082868840588e-04,4.220377317747724e-04
2.500000000000000e-01,6.250000000000000e-01,3.620343579167089e-07,4.364442693063697e-08,5.131595903104236e-04,3.108499271417430e-04
2.812500000000000e-01,6.250000000000000e-01,3.558072673948563e-07,5.178487447747135e-08,5.038339262093918e-04,2.067144233470695e-04
3.125000000000000e-01,6.250000000000000e-01,3.391800520064765e-07,5.967200574933096e-08,4.798984260335666e-04,1.097123260773738e-04
3.437500000000000e-01,6.250000000000000e-01,3.128108835021756e-07,6.708149058540792e-08,4.422326760632970e-04,2.011350554713569e-05
3.750000000000000e-01,6.250000000000000e-01,2.774814947307047e-07,7.380242534785491e-08,3.919273481173930e-04,-6.166506145657621e-05
4.062500000000000e-01,6.250000000000000e-01,2.340973673756723e-07,7.964308289579865e-08,3.302814005845734e-04,-1.350873781066869e-04
4.375000000000000e-01,6.250000000000000e-01,1.836894273730397e-07,8.443480748495663e-08,2.587562386174492e-04,-1.994816799214828e-04
4.687500000000000e-01,6.250000000000000e-01,1.274142614798150e-07,8.803374423760237e-08,1.789790415288977e-04,-2.539983909586125e-04
5.000000000000000e-01,6.250000000000000e-01,6.655404207072411e-08,9.032278347390036e-08,9.274423080095118e-05,-2.975816190039177e-04
5.312500000000000e-01,6.250000000000000e-01,2.516145652141404e-09,9.121379774640573e-08,2.018861816332640e-06,-3.289439146805145e-04
5.625000000000000e-01,6.250000000000000e-01,-6.316730127751753e-08,9.065033504346861e-08,-9.105352150120788e-05,-3.465437573737716e-04
5.937500000000000e-01,6.250000000000000e-01,-1.288398859386147e-07,8.861093355693428e-08,-1.841437291710718e-04,-3.485729624034537e-04
6.250000000000000e-01,6.250000000000000e-01,-1.927209358862173e-07,8.511255342656550e-08,-2.747383089699419e-04,-3.329405763317407e-04
6.562500000000000e-01,6.250000000000000e-01,-2.529051743700191e-07,8.021422894747344e-08,-3.601378901286713e-04,-2.972708817872636e-04
6.875000000000000e-01,6.250000000000000e-01,-3.073618780038481e-07,7.401931344804539e-08,-4.374632060155717e-04,-2.388796705227361e-04
7.187500000000000e-01,6.250000000000000e-01,-3.539330400651135e-07,6.667714632449117e-08,-5.036909277669731e-04,-1.547689387797764e-04
7.500000000000000e-01,6.250000000000000e-01,-3.903343680058254e-07,5.837808039469870e-08,-5.557484970188128e-04,-4.137251942776069e-05
7.812500000000000e-01,6.250000000000000e-01,-4.141646404217823e-07,4.936404839701540e-08,-5.902851187283356e-04,1.053514012528479e-04
8.125000000000000e-01,6.250000000000000e-01,-4.229103866628837e-07,3.994918777991754e-08,-6.033760953114517e-04,2.895802664428576e-04
8.437500000000000e-01,6.250000000000000e-01,-4.139199086031357e-07,3.053714167656451e-08,-5.907186951810470e-04,5.148896986623063e-04
8.750000000000000e-01,6.250000000000000e-01,-3.843566929622105e-07,2.155168980376731e-08,-5.483516349891640e-04,7.843562070014967e-04
9.062500000000000e-01,6.250000000000000e-01,-3.312217232844282e-07,1.312450232840982e-08,-4.793601262202589e-04,1.113203375596680e-03
9.375000000000000e-01,6.250000000000000e-01,-2.518296174711766e-07,5.884722384562343e-09,-3.748721917853895e-04,1.507620548459814e-03
9.687500000000000e-01,6.250000000000000e-01,-1.438082516907206e-07,6.812290683580982e-10,-1.726538077177751e-04,1.964468999956071e-03
1.000000000000000e+00,6.250000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,-1.726538077177751e-04,1.964468999956071e-03
