iteration,interface_residual
0,nan
1,8.932546795510392e-01
2,5.352166698453009e-01
3,3.702813939576081e-01
4,1.627387059738157e-01
5,1.057453010299966e-01
6,5.334168175818756e-02
7,3.310890863970731e-02
8,2.007185706793786e-02
9,1.035617727984618e-02
10,7.257358552757030e-03
11,3.454024300635951e-03
12,2.504150459297379e-03
13,1.284555151079548e-03
14,8.119537755663050e-04
15,5.016547941360631e-04
16,2.561041169163303e-04
17,1.907130669841745e-04
18,8.581723237811529e-05
19,6.797574260015335e-05
20,3.276900234680191e-05
21,2.258139259405648e-05
22,1.337065076328616e-05
23,7.162421660197240e-06
24,5.310177111655311e-06
25,2.352996805214570e-06
26,1.971072512381238e-06
27,8.855053019340767e-07
