x, y, ux, uy, tx, ty
2.556818181818182e-01, 6.250000000000000e-01, 3.422622668836428e-07, 4.552340489941903e-08, -5.355620645145656e-04, -3.384936522157154e-04
2.670454545454545e-01, 6.250000000000000e-01, 3.337613130456314e-07, 4.882900416684715e-08, -5.193366440955948e-04, -3.086096357897895e-04
2.784090909090909e-01, 6.250000000000000e-01, 3.252603592076200e-07, 5.213460343427527e-08, -5.031112236766239e-04, -2.787256193638635e-04
2.897727272727273e-01, 6.250000000000000e-01, 3.167594053696085e-07, 5.544020270170342e-08, -4.868858032576530e-04, -2.488416029379375e-04
3.011363636363636e-01, 6.250000000000000e-01, 3.082584515315972e-07, 5.874580196913154e-08, -4.706603828386821e-04, -2.189575865120116e-04
3.125000000000000e-01, 6.250000000000000e-01, 2.997574976935858e-07, 6.205140123655966e-08, -4.544349624197113e-04, -1.890735700860856e-04
3.238636363636364e-01, 6.250000000000000e-01, 2.912565438555744e-07, 6.535700050398777e-08, -4.382095420007405e-04, -1.591895536601597e-04
3.352272727272727e-01, 6.250000000000000e-01, 2.827555900175630e-07, 6.866259977141591e-08, -4.219841215817696e-04, -1.293055372342338e-04
3.465909090909091e-01, 6.250000000000000e-01, 2.742546361795516e-07, 7.196819903884402e-08, -4.057587011627987e-04, -9.942152080830787e-05
3.579545454545455e-01, 6.250000000000000e-01, 2.657536823415402e-07, 7.527379830627216e-08, -3.895332807438278e-04, -6.953750438238183e-05
3.693181818181818e-01, 6.250000000000000e-01, 2.572527285035288e-07, 7.857939757370029e-08, -3.733078603248570e-04, -3.965348795645590e-05
3.806818181818182e-01, 6.250000000000000e-01, 2.431276129475692e-07, 8.119420259956095e-08, -3.487985075683836e-04, -1.571203734000794e-05
3.920454545454546e-01, 6.250000000000000e-01, 2.233783356736613e-07, 8.311821338385418e-08, -3.160052224744074e-04, 2.286847466962212e-06
4.034090909090909e-01, 6.250000000000000e-01, 2.036290583997535e-07, 8.504222416814739e-08, -2.832119373804315e-04, 2.028573227393227e-05
4.147727272727273e-01, 6.250000000000000e-01, 1.838797811258457e-07, 8.696623495244060e-08, -2.504186522864556e-04, 3.828461708090233e-05
4.261363636363636e-01, 6.250000000000000e-01, 1.641305038519380e-07, 8.889024573673382e-08, -2.176253671924796e-04, 5.628350188787240e-05
4.375000000000000e-01, 6.250000000000000e-01, 1.443812265780302e-07, 9.081425652102704e-08, -1.848320820985036e-04, 7.428238669484245e-05
4.488636363636364e-01, 6.250000000000000e-01, 1.246319493041224e-07, 9.273826730532025e-08, -1.520387970045277e-04, 9.228127150181251e-05
4.602272727272727e-01, 6.250000000000000e-01, 1.048826720302146e-07, 9.466227808961347e-08, -1.192455119105517e-04, 1.102801563087826e-04
4.715909090909091e-01, 6.250000000000000e-01, 8.513339475630680e-08, 9.658628887390668e-08, -8.645222681657582e-05, 1.282790411157526e-04
4.829545454545454e-01, 6.250000000000000e-01, 6.538411748239900e-08, 9.851029965819989e-08, -5.365894172259985e-05, 1.462779259227227e-04
4.943181818181818e-01, 6.250000000000000e-01, 4.563484020849110e-08, 1.004343104424931e-07, -2.086565662862372e-05, 1.642768107296928e-04
5.056818181818181e-01, 6.250000000000000e-01, 2.385324703305546e-08, 1.012857398863522e-07, 1.503573400522430e-05, 1.731665875851025e-04
5.170454545454546e-01, 6.250000000000000e-01, 3.933795609144629e-11, 1.010645879897773e-07, 5.404523017894517e-05, 1.729472564889517e-04
5.284090909090908e-01, 6.250000000000000e-01, -2.377457112087210e-08, 1.008434360932023e-07, 9.305472635266529e-05, 1.727279253928010e-04
5.397727272727273e-01, 6.250000000000000e-01, -4.758848019783611e-08, 1.006222841966273e-07, 1.320642225263862e-04, 1.725085942966502e-04
5.511363636363636e-01, 6.250000000000000e-01, -7.140238927479988e-08, 1.004011323000524e-07, 1.710737187001067e-04, 1.722892632004995e-04
5.625000000000000e-01, 6.250000000000000e-01, -9.521629835176366e-08, 1.001799804034774e-07, 2.100832148738272e-04, 1.720699321043487e-04
5.738636363636364e-01, 6.250000000000000e-01, -1.190302074287274e-07, 9.995882850690243e-08, 2.490927110475476e-04, 1.718506010081979e-04
5.852272727272727e-01, 6.250000000000000e-01, -1.428441165056912e-07, 9.973767661032746e-08, 2.881022072212681e-04, 1.716312699120472e-04
5.965909090909092e-01, 6.250000000000000e-01, -1.666580255826552e-07, 9.951652471375248e-08, 3.271117033949891e-04, 1.714119388158964e-04
6.079545454545454e-01, 6.250000000000000e-01, -1.904719346596188e-07, 9.929537281717753e-08, 3.661211995687091e-04, 1.711926077197457e-04
6.193181818181819e-01, 6.250000000000000e-01, -2.142858437365828e-07, 9.907422092060254e-08, 4.051306957424301e-04, 1.709732766235949e-04
6.306818181818181e-01, 6.250000000000000e-01, -2.351437795856732e-07, 9.772812225208299e-08, 4.386221628973716e-04, 1.549303662239693e-04
6.420454545454546e-01, 6.250000000000000e-01, -2.530457422068909e-07, 9.525707681161879e-08, 4.665956010335354e-04, 1.230638765208683e-04
6.534090909090908e-01, 6.250000000000000e-01, -2.709477048281083e-07, 9.278603137115464e-08, 4.945690391696986e-04, 9.119738681776788e-05
6.647727272727273e-01, 6.250000000000000e-01, -2.888496674493260e-07, 9.031498593069044e-08, 5.225424773058622e-04, 5.933089711466684e-05
6.761363636363636e-01, 6.250000000000000e-01, -3.067516300705435e-07, 8.784394049022627e-08, 5.505159154420257e-04, 2.746440741156612e-05
6.875000000000000e-01, 6.250000000000000e-01, -3.246535926917611e-07, 8.537289504976210e-08, 5.784893535781890e-04, -4.402082291534592e-06
6.988636363636364e-01, 6.250000000000000e-01, -3.425555553129786e-07, 8.290184960929792e-08, 6.064627917143525e-04, -3.626857199463530e-05
7.102272727272727e-01, 6.250000000000000e-01, -3.604575179341961e-07, 8.043080416883375e-08, 6.344362298505159e-04, -6.813506169773604e-05
7.215909090909092e-01, 6.250000000000000e-01, -3.783594805554138e-07, 7.795975872836955e-08, 6.624096679866796e-04, -1.000015514008371e-04
7.329545454545454e-01, 6.250000000000000e-01, -3.962614431766312e-07, 7.548871328790540e-08, 6.903831061228429e-04, -1.318680411039375e-04
7.443181818181819e-01, 6.250000000000000e-01, -4.141634057978489e-07, 7.301766784744120e-08, 7.183565442590065e-04, -1.637345308070385e-04
