x, y, ux, uy, tx, ty
2.556818181818182e-01, 6.250000000000000e-01, 3.422621552214555e-07, 4.552348558031366e-08, 5.824388984477422e-04, 3.190557569133911e-04
2.670454545454545e-01, 6.250000000000000e-01, 3.337612039369895e-07, 4.882909066064097e-08, 5.646658064882127e-04, 2.891183314489242e-04
2.784090909090909e-01, 6.250000000000000e-01, 3.252602526525235e-07, 5.213469574096827e-08, 5.468927145286832e-04, 2.591809059844573e-04
2.897727272727273e-01, 6.250000000000000e-01, 3.167593013680574e-07, 5.544030082129559e-08, 5.291196225691536e-04, 2.292434805199903e-04
3.011363636363636e-01, 6.250000000000000e-01, 3.082583500835914e-07, 5.874590590162289e-08, 5.113465306096240e-04, 1.993060550555234e-04
3.125000000000000e-01, 6.250000000000000e-01, 2.997573987991254e-07, 6.205151098195020e-08, 4.935734386500945e-04, 1.693686295910565e-04
3.238636363636364e-01, 6.250000000000000e-01, 2.912564475146593e-07, 6.535711606227749e-08, 4.758003466905649e-04, 1.394312041265896e-04
3.352272727272727e-01, 6.250000000000000e-01, 2.827554962301933e-07, 6.866272114260480e-08, 4.580272547310354e-04, 1.094937786621227e-04
3.465909090909091e-01, 6.250000000000000e-01, 2.742545449457273e-07, 7.196832622293210e-08, 4.402541627715059e-04, 7.955635319765574e-05
3.579545454545455e-01, 6.250000000000000e-01, 2.657535936612612e-07, 7.527393130325942e-08, 4.224810708119762e-04, 4.961892773318869e-05
3.693181818181818e-01, 6.250000000000000e-01, 2.572526423767952e-07, 7.857953638358672e-08, 4.047079788524467e-04, 1.968150226872180e-05
3.806818181818182e-01, 6.250000000000000e-01, 2.431275317687128e-07, 8.119434554927137e-08, 3.785822278596024e-04, -4.801655712102856e-06
3.920454545454546e-01, 6.250000000000000e-01, 2.233782618370138e-07, 8.311835880031338e-08, 3.441038178334431e-04, -2.383054620928538e-05
4.034090909090909e-01, 6.250000000000000e-01, 2.036289919053149e-07, 8.504237205135538e-08, 3.096254078072840e-04, -4.285943670646781e-05
4.147727272727273e-01, 6.250000000000000e-01, 1.838797219736161e-07, 8.696638530239737e-08, 2.751469977811250e-04, -6.188832720365023e-05
4.261363636363636e-01, 6.250000000000000e-01, 1.641304520419172e-07, 8.889039855343938e-08, 2.406685877549659e-04, -8.091721770083266e-05
4.375000000000000e-01, 6.250000000000000e-01, 1.443811821102183e-07, 9.081441180448138e-08, 2.061901777288068e-04, -9.994610819801509e-05
4.488636363636364e-01, 6.250000000000000e-01, 1.246319121785194e-07, 9.273842505552338e-08, 1.717117677026477e-04, -1.189749986951975e-04
4.602272727272727e-01, 6.250000000000000e-01, 1.048826422468206e-07, 9.466243830656537e-08, 1.372333576764886e-04, -1.380038891923800e-04
4.715909090909091e-01, 6.250000000000000e-01, 8.513337231512172e-08, 9.658645155760737e-08, 1.027549476503296e-04, -1.570327796895624e-04
4.829545454545454e-01, 6.250000000000000e-01, 6.538410238342286e-08, 9.851046480864937e-08, 6.827653762417048e-05, -1.760616701867448e-04
4.943181818181818e-01, 6.250000000000000e-01, 4.563483245172389e-08, 1.004344780596914e-07, 3.379812759801124e-05, -1.950905606839273e-04
5.056818181818181e-01, 6.250000000000000e-01, 2.385324717100200e-08, 1.012859070495164e-07, -3.977506449273756e-06, -2.055751787288902e-04
5.170454545454546e-01, 6.250000000000000e-01, 3.934654125662980e-11, 1.010647517781244e-07, -4.505036451768551e-05, -2.075155243216337e-04
5.284090909090908e-01, 6.250000000000000e-01, -2.377455408848828e-08, 1.008435965067323e-07, -8.612322258609647e-05, -2.094558699143772e-04
5.397727272727273e-01, 6.250000000000000e-01, -4.758845471823365e-08, 1.006224412353403e-07, -1.271960806545082e-04, -2.113962155071206e-04
5.511363636363636e-01, 6.250000000000000e-01, -7.140235534797879e-08, 1.004012859639483e-07, -1.682689387229196e-04, -2.133365610998641e-04
5.625000000000000e-01, 6.250000000000000e-01, -9.521625597772393e-08, 1.001801306925563e-07, -2.093417967913310e-04, -2.152769066926075e-04
5.738636363636364e-01, 6.250000000000000e-01, -1.190301566074691e-07, 9.995897542116425e-08, -2.504146548597423e-04, -2.172172522853510e-04
5.852272727272727e-01, 6.250000000000000e-01, -1.428440572372142e-07, 9.973782014977223e-08, -2.914875129281537e-04, -2.191575978780944e-04
5.965909090909092e-01, 6.250000000000000e-01, -1.666579578669596e-07, 9.951666487838021e-08, -3.325603709965655e-04, -2.210979434708379e-04
6.079545454545454e-01, 6.250000000000000e-01, -1.904718584967045e-07, 9.929550960698819e-08, -3.736332290649764e-04, -2.230382890635813e-04
