iteration, interface_residual
1, nan
2, 1.026184865378619e+00
3, 6.127589831711685e-01
4, 4.929728495540374e-01
5, 3.596722066709873e-01
6, 1.415617107565010e-01
7, 8.055581721088155e-02
8, 4.738850284651133e-02
9, 1.756781734177302e-02
10, 1.351657407721660e-02
11, 7.629672118502219e-03
12, 3.048885080673649e-03
13, 2.283236748140737e-03
14, 1.245977036943566e-03
15, 5.214326649372886e-04
16, 3.843474685637020e-04
17, 2.061064178395871e-04
18, 8.816703045509733e-05
19, 6.450886744736842e-05
20, 3.426885842696705e-05
21, 1.483774367442223e-05
22, 1.081343207096589e-05
23, 5.710957066809423e-06
24, 2.491354500822928e-06
25, 1.810434092445119e-06
26, 9.523671384754653e-07
