x, y, ux, uy, tx, ty
2.556818181818182e-01, 6.250000000000000e-01, 3.570374656716089e-07, 4.538916924944247e-08, -5.176831966196264e-04, -3.016428524383876e-04
2.670454545454545e-01, 6.250000000000000e-01, 3.526761481283830e-07, 4.840402350208066e-08, -5.103221685725828e-04, -2.662375307702381e-04
2.784090909090909e-01, 6.250000000000000e-01, 3.483148305851571e-07, 5.141887775471885e-08, -5.029611405255392e-04, -2.308322091020886e-04
2.897727272727273e-01, 6.250000000000000e-01, 3.439535130419312e-07, 5.443373200735706e-08, -4.956001124784956e-04, -1.954268874339390e-04
3.011363636363636e-01, 6.250000000000000e-01, 3.395921954987053e-07, 5.744858625999525e-08, -4.882390844314520e-04, -1.600215657657894e-04
3.125000000000000e-01, 6.250000000000000e-01, 3.352308779554794e-07, 6.046344051263344e-08, -4.808780563844083e-04, -1.246162440976399e-04
3.238636363636364e-01, 6.250000000000000e-01, 3.238142033425913e-07, 6.311868323474300e-08, -4.636327391339550e-04, -9.451309245361182e-05
3.352272727272727e-01, 6.250000000000000e-01, 3.123975287297032e-07, 6.577392595685257e-08, -4.463874218835017e-04, -6.440994080958369e-05
3.465909090909091e-01, 6.250000000000000e-01, 3.009808541168151e-07, 6.842916867896213e-08, -4.291421046330483e-04, -3.430678916555558e-05
3.579545454545455e-01, 6.250000000000000e-01, 2.895641795039269e-07, 7.108441140107170e-08, -4.118967873825949e-04, -4.203637521527309e-06
3.693181818181818e-01, 6.250000000000000e-01, 2.781475048910387e-07, 7.373965412318126e-08, -3.946514701321415e-04, 2.589951412250080e-05
3.806818181818182e-01, 6.250000000000000e-01, 2.638204533995475e-07, 7.607343260327931e-08, -3.733291577805463e-04, 5.302641752260216e-05
3.920454545454546e-01, 6.250000000000000e-01, 2.465830250294530e-07, 7.808574684136588e-08, -3.479298503278091e-04, 7.717707267877684e-05
4.034090909090909e-01, 6.250000000000000e-01, 2.293455966593586e-07, 8.009806107945243e-08, -3.225305428750720e-04, 1.013277278349514e-04
4.147727272727273e-01, 6.250000000000000e-01, 2.121081682892643e-07, 8.211037531753899e-08, -2.971312354223349e-04, 1.254783829911260e-04
4.261363636363636e-01, 6.250000000000000e-01, 1.948707399191699e-07, 8.412268955562554e-08, -2.717319279695977e-04, 1.496290381473005e-04
4.375000000000000e-01, 6.250000000000000e-01, 1.776333115490755e-07, 8.613500379371210e-08, -2.463326205168606e-04, 1.737796933034751e-04
