x, y, ux, uy, tx, ty
2.556818181818182e-01, 6.250000000000000e-01, 3.610388247285179e-07, 4.505240738206686e-08, 5.139880099071411e-04, 2.922482397095613e-04
2.670454545454545e-01, 6.250000000000000e-01, 3.587574027138673e-07, 4.801582584352916e-08, 5.104513359092768e-04, 2.544873879390736e-04
2.784090909090909e-01, 6.250000000000000e-01, 3.564759806992166e-07, 5.097924430499147e-08, 5.069146619114126e-04, 2.167265361685860e-04
2.897727272727273e-01, 6.250000000000000e-01, 3.513564503532017e-07, 5.387373054885582e-08, 4.993851436534987e-04, 1.809024374272143e-04
3.011363636363636e-01, 6.250000000000000e-01, 3.452908838967321e-07, 5.674523938685416e-08, 4.905246773089015e-04, 1.457239230288816e-04
3.125000000000000e-01, 6.250000000000000e-01, 3.392253174402625e-07, 5.961674822485250e-08, 4.816642109643043e-04, 1.105454086305488e-04
3.238636363636364e-01, 6.250000000000000e-01, 3.296153024159270e-07, 6.231460550436363e-08, 4.678002040853660e-04, 7.804706464560553e-05
3.352272727272727e-01, 6.250000000000000e-01, 3.200052873915916e-07, 6.501246278387476e-08, 4.539361972064277e-04, 4.554872066066223e-05
3.465909090909091e-01, 6.250000000000000e-01, 3.095803142007083e-07, 6.764770057911266e-08, 4.389205993237687e-04, 1.375824481889101e-05
3.579545454545455e-01, 6.250000000000000e-01, 2.967104665101818e-07, 7.009507992153083e-08, 4.204502284299469e-04, -1.590862659336407e-05
3.693181818181818e-01, 6.250000000000000e-01, 2.838406188196554e-07, 7.254245926394899e-08, 4.019798575361253e-04, -4.557549800561901e-05
3.806818181818182e-01, 6.250000000000000e-01, 2.695056607968352e-07, 7.482968770167073e-08, 3.814433944183823e-04, -7.372942234281855e-05
3.920454545454546e-01, 6.250000000000000e-01, 2.537055924417212e-07, 7.695676523469606e-08, 3.588408390767175e-04, -1.003703996049628e-04
4.034090909090909e-01, 6.250000000000000e-01, 2.379055240866073e-07, 7.908384276772138e-08, 3.362382837350528e-04, -1.270113768671070e-04
4.147727272727273e-01, 6.250000000000000e-01, 2.201892053825731e-07, 8.092464097329661e-08, 3.109356530567694e-04, -1.511998284044355e-04
4.261363636363636e-01, 6.250000000000000e-01, 2.018341365622322e-07, 8.267001273638846e-08, 2.847329972662797e-04, -1.745707713668255e-04
4.375000000000000e-01, 6.250000000000000e-01, 1.834790677418913e-07, 8.441538449948033e-08, 2.585303414757900e-04, -1.979417143292154e-04
