iteration, interface_residual
0, nan
1, 9.022099222385868e-01
2, 4.905152843801233e-01
3, 3.450804405016405e-01
4, 1.683973345320138e-01
5, 7.821428974219266e-02
6, 4.853813037828861e-02
7, 2.533802622891167e-02
8, 1.239577102293804e-02
9, 7.846119635169050e-03
10, 4.362574131104291e-03
11, 2.082199826359354e-03
12, 1.306826552413042e-03
13, 7.571735464435037e-04
14, 3.557368850229004e-04
15, 2.207609594480657e-04
16, 1.323400818536959e-04
17, 6.168700710007809e-05
18, 3.762898109340403e-05
19, 2.326920817804367e-05
20, 1.087863931150142e-05
21, 6.471043669290206e-06
22, 4.114273685142862e-06
23, 1.948603200021928e-06
24, 1.121355070709794e-06
25, 7.309098128381497e-07
