x, y, ux, uy
1.136363636363636e-02, 6.349431818181818e-01, 3.648120124533169e-08, 8.048764787097622e-10
3.409090909090909e-02, 6.349431818181818e-01, 9.488971987771387e-08, 1.348258626466077e-09
5.681818181818182e-02, 6.349431818181818e-01, 1.532982385100961e-07, 1.891640774222392e-09
7.954545454545454e-02, 6.349431818181818e-01, 2.040539062080326e-07, 5.677285110527849e-09
1.022727272727273e-01, 6.349431818181818e-01, 2.451917658730010e-07, 9.545263618118617e-09
1.250000000000000e-01, 6.349431818181818e-01, 2.863296255379695e-07, 1.341324212570938e-08
1.477272727272727e-01, 6.349431818181818e-01, 3.134010397076869e-07, 1.983252432182196e-08
1.704545454545454e-01, 6.349431818181818e-01, 3.373507946804971e-07, 2.525199959994515e-08
1.931818181818182e-01, 6.349431818181818e-01, 3.576416019187090e-07, 3.148063152826887e-08
2.159090909090909e-01, 6.349431818181818e-01, 3.651799626879143e-07, 3.808115869221972e-08
2.386363636363636e-01, 6.349431818181818e-01, 3.723085688574554e-07, 4.420732246040724e-08
2.613636363636364e-01, 6.349431818181818e-01, 3.704541773105383e-07, 5.137918675089562e-08
2.840909090909091e-01, 6.349431818181818e-01, 3.617315362584579e-07, 5.740890915381813e-08
3.068181818181818e-01, 6.349431818181818e-01, 3.530088952063777e-07, 6.343863155674062e-08
3.295454545454545e-01, 6.349431818181818e-01, 3.308515745876905e-07, 6.986497469193888e-08
3.522727272727273e-01, 6.349431818181818e-01, 3.080182269128598e-07, 7.517547593692305e-08
3.750000000000000e-01, 6.349431818181818e-01, 2.851848792380291e-07, 8.048597718190721e-08
3.977272727272727e-01, 6.349431818181818e-01, 2.463815033204863e-07, 8.517872360234194e-08
4.204545454545455e-01, 6.349431818181818e-01, 2.119066556783694e-07, 8.920336587429981e-08
4.431818181818182e-01, 6.349431818181818e-01, 1.722378561210765e-07, 9.297554860091192e-08
4.659090909090909e-01, 6.349431818181818e-01, 1.270113422295703e-07, 9.541006340032393e-08
4.886363636363636e-01, 6.349431818181818e-01, 8.409809174067524e-08, 9.771066528639068e-08
5.113636363636364e-01, 6.349431818181818e-01, 3.296617832706458e-08, 9.890618733678581e-08
5.340909090909091e-01, 6.349431818181818e-01, -1.445465063057799e-08, 9.919479620762072e-08
5.568181818181818e-01, 6.349431818181818e-01, -6.187547958822054e-08, 9.948340507845564e-08
5.795454545454546e-01, 6.349431818181818e-01, -1.151258845600973e-07, 9.764024787489108e-08
6.022727272727273e-01, 6.349431818181818e-01, -1.624127655234966e-07, 9.578071658635944e-08
6.250000000000000e-01, 6.349431818181818e-01, -2.096996464868959e-07, 9.392118529782779e-08
6.477272727272727e-01, 6.349431818181818e-01, -2.566799011594079e-07, 8.908992603647948e-08
6.704545454545454e-01, 6.349431818181818e-01, -2.984543203601175e-07, 8.517334502924655e-08
6.931818181818182e-01, 6.349431818181818e-01, -3.394377412723708e-07, 8.012212396857104e-08
7.159090909090909e-01, 6.349431818181818e-01, -3.711510016665189e-07, 7.396427902832074e-08
7.386363636363636e-01, 6.349431818181818e-01, -4.012726084484973e-07, 6.833657938362880e-08
7.613636363636364e-01, 6.349431818181818e-01, -4.235020095462910e-07, 6.067821573198411e-08
7.840909090909091e-01, 6.349431818181818e-01, -4.350140900945906e-07, 5.368958251854222e-08
8.068181818181818e-01, 6.349431818181818e-01, -4.465261706428902e-07, 4.670094930510032e-08
8.295454545454546e-01, 6.349431818181818e-01, -4.366982278360450e-07, 3.821802221244231e-08
8.522727272727273e-01, 6.349431818181818e-01, -4.223364334558699e-07, 3.086065557964028e-08
8.750000000000000e-01, 6.349431818181818e-01, -4.079746390756946e-07, 2.350328894683824e-08
8.977272727272727e-01, 6.349431818181818e-01, -3.538069667730122e-07, 1.631106761783463e-08
9.204545454545454e-01, 6.349431818181818e-01, -3.064097662026222e-07, 9.766523833672487e-09
9.431818181818182e-01, 6.349431818181818e-01, -2.411914514045107e-07, 4.218430779513564e-09
9.659090909090909e-01, 6.349431818181818e-01, -1.420142533795277e-07, 2.425081211342010e-09
9.886363636363636e-01, 6.349431818181818e-01, -4.733808445984256e-08, 8.083604037806701e-10
1.136363636363636e-02, 6.548295454545454e-01, 3.752076437806610e-08, 8.810458222571375e-10
3.409090909090909e-02, 6.548295454545454e-01, 1.094436037359951e-07, 2.414629436129292e-09
5.681818181818182e-02, 6.548295454545454e-01, 1.678521223683773e-07, 2.958011583885608e-09
7.954545454545454e-02, 6.548295454545454e-01, 2.223936067028243e-07, 7.278523719243429e-09
1.022727272727273e-01, 6.548295454545454e-01, 2.703459363135115e-07, 1.210926426512844e-08
1.250000000000000e-01, 6.548295454545454e-01, 3.114837959784799e-07, 1.597724277271921e-08
1.477272727272727e-01, 6.548295454545454e-01, 3.425687719727925e-07, 2.368199100624671e-08
1.704545454545454e-01, 6.548295454545454e-01, 3.687482835148221e-07, 2.981561408293373e-08
1.931818181818182e-01, 6.548295454545454e-01, 3.890390907530339e-07, 3.604424601125746e-08
2.159090909090909e-01, 6.548295454545454e-01, 3.983530547874507e-07, 4.470034789018275e-08
2.386363636363636e-01, 6.548295454545454e-01, 4.056182458235466e-07, 5.098463279029138e-08
2.613636363636364e-01, 6.548295454545454e-01, 4.036128008329654e-07, 5.831277153862739e-08
2.840909090909091e-01, 6.548295454545454e-01, 3.929264650132537e-07, 6.637406189356905e-08
3.068181818181818e-01, 6.548295454545454e-01, 3.842038239611735e-07, 7.240378429649155e-08
3.295454545454545e-01, 6.548295454545454e-01, 3.600096107713833e-07, 7.949872500363946e-08
3.522727272727273e-01, 6.548295454545454e-01, 3.335098564685673e-07, 8.601270187813300e-08
3.750000000000000e-01, 6.548295454545454e-01, 3.106765087937366e-07, 9.132320312311716e-08
3.977272727272727e-01, 6.548295454545454e-01, 2.663078822363604e-07, 9.687494059159358e-08
4.204545454545455e-01, 6.548295454545454e-01, 2.287412286832249e-07, 1.013768001124635e-07
4.431818181818182e-01, 6.548295454545454e-01, 1.890724291259320e-07, 1.051489828390756e-07
4.659090909090909e-01, 6.548295454545454e-01, 1.338217738231106e-07, 1.081637869296505e-07
4.886363636363636e-01, 6.548295454545454e-01, 9.013743553334512e-08, 1.105090264534990e-07
5.113636363636364e-01, 6.548295454545454e-01, 3.815339730682844e-08, 1.116903937427433e-07
5.340909090909091e-01, 6.548295454545454e-01, -2.034505421859198e-08, 1.117949907186176e-07
5.568181818181818e-01, 6.548295454545454e-01, -6.776588317623455e-08, 1.120835995894525e-07
5.795454545454546e-01, 6.548295454545454e-01, -1.252520288694802e-07, 1.098685417038347e-07
6.022727272727273e-01, 6.548295454545454e-01, -1.801632431313435e-07, 1.073395891876072e-07
6.250000000000000e-01, 6.548295454545454e-01, -2.274501240947428e-07, 1.054800578990756e-07
6.477272727272727e-01, 6.548295454545454e-01, -2.811235958024293e-07, 9.947278373957897e-08
6.704545454545454e-01, 6.548295454545454e-01, -3.266164689115692e-07, 9.490286112226363e-08
6.931818181818182e-01, 6.548295454545454e-01, -3.675998898238224e-07, 8.985164006158810e-08
7.159090909090909e-01, 6.548295454545454e-01, -4.062103158707057e-07, 8.139649884058499e-08
7.386363636363636e-01, 6.548295454545454e-01, -4.368624738567407e-07, 7.559208409737360e-08
7.613636363636364e-01, 6.548295454545454e-01, -4.592936688734851e-07, 6.774083512821779e-08
7.840909090909091e-01, 6.548295454545454e-01, -4.734290703681435e-07, 5.824469278713146e-08
8.068181818181818e-01, 6.548295454545454e-01, -4.849411509164431e-07, 5.125605957368957e-08
8.295454545454546e-01, 6.548295454545454e-01, -4.737313387104633e-07, 4.190331547053442e-08
8.522727272727273e-01, 6.548295454545454e-01, -4.568821794118458e-07, 3.298027821883756e-08
8.750000000000000e-01, 6.548295454545454e-01, -4.425203850316706e-07, 2.562291158603553e-08
8.977272727272727e-01, 6.548295454545454e-01, -3.796478205017548e-07, 1.759796198509289e-08
9.204545454545454e-01, 6.548295454545454e-01, -3.274145686940130e-07, 1.059079138318684e-08
9.431818181818182e-01, 6.548295454545454e-01, -2.621962538959015e-07, 5.042698329027915e-09
9.659090909090909e-01, 6.548295454545454e-01, -1.435145964146269e-07, 2.483957464878746e-09
9.886363636363636e-01, 6.548295454545454e-01, -4.733808445984256e-08, 8.083604037806701e-10
1.136363636363636e-02, 6.747159090909091e-01, 3.752076437806610e-08, 8.810458222571375e-10
3.409090909090909e-02, 6.747159090909091e-01, 1.125622931341983e-07, 2.643137466771412e-09
5.681818181818182e-02, 6.747159090909091e-01, 1.824060062266585e-07, 4.024382393548822e-09
7.954545454545454e-02, 6.747159090909091e-01, 2.369474905611055e-07, 8.344894528906643e-09
1.022727272727273e-01, 6.747159090909091e-01, 2.901999634629074e-07, 1.392444999346497e-08
1.250000000000000e-01, 6.747159090909091e-01, 3.366379664189904e-07, 1.854124341972904e-08
1.477272727272727e-01, 6.747159090909091e-01, 3.677229424133029e-07, 2.624599165325653e-08
1.704545454545454e-01, 6.747159090909091e-01, 3.988079184076154e-07, 3.395073988678402e-08
1.931818181818182e-01, 6.747159090909091e-01, 4.204365795873590e-07, 4.060786049424605e-08
2.159090909090909e-01, 6.747159090909091e-01, 4.297505436217757e-07, 4.926396237317134e-08
2.386363636363636e-01, 6.747159090909091e-01, 4.389279227896377e-07, 5.776194312017552e-08
2.613636363636364e-01, 6.747159090909091e-01, 4.369224777990565e-07, 6.509008186851153e-08
2.840909090909091e-01, 6.747159090909091e-01, 4.257829816483530e-07, 7.362019559699607e-08
3.068181818181818e-01, 6.747159090909091e-01, 4.153987527159693e-07, 8.136893703624246e-08
3.295454545454545e-01, 6.747159090909091e-01, 3.912045395261791e-07, 8.846387774339037e-08
3.522727272727273e-01, 6.747159090909091e-01, 3.618531356238189e-07, 9.591389121861346e-08
3.750000000000000e-01, 6.747159090909091e-01, 3.361681383494441e-07, 1.021604290643271e-07
3.977272727272727e-01, 6.747159090909091e-01, 2.917995117920678e-07, 1.077121665328035e-07
4.204545454545455e-01, 6.747159090909091e-01, 2.474308852346915e-07, 1.132639040012800e-07
4.431818181818182e-01, 6.747159090909091e-01, 2.059070021307875e-07, 1.173224170772393e-07
4.659090909090909e-01, 6.747159090909091e-01, 1.506563468279661e-07, 1.203372211678142e-07
4.886363636363636e-01, 6.747159090909091e-01, 9.617677932601501e-08, 1.233073876206073e-07
5.113636363636364e-01, 6.747159090909091e-01, 4.419274109949830e-08, 1.244887549098516e-07
5.340909090909091e-01, 6.747159090909091e-01, -1.686208486464009e-08, 1.245508876022734e-07
5.568181818181818e-01, 6.747159090909091e-01, -7.365628676424855e-08, 1.246837941004494e-07
5.795454545454546e-01, 6.747159090909091e-01, -1.311424324574942e-07, 1.224687362148316e-07
6.022727272727273e-01, 6.747159090909091e-01, -1.919836837292739e-07, 1.194191227437296e-07
6.250000000000000e-01, 6.747159090909091e-01, -2.452006017025897e-07, 1.170389305003234e-07
6.477272727272727e-01, 6.747159090909091e-01, -2.988740734102762e-07, 1.110316563408268e-07
6.704545454545454e-01, 6.747159090909091e-01, -3.525475451179626e-07, 1.050243821813302e-07
6.931818181818182e-01, 6.747159090909091e-01, -3.957620383752741e-07, 9.958115615460520e-08
7.159090909090909e-01, 6.747159090909091e-01, -4.343724644221573e-07, 9.112601493360206e-08
7.386363636363636e-01, 6.747159090909091e-01, -4.724523392649841e-07, 8.284758881111841e-08
7.613636363636364e-01, 6.747159090909091e-01, -4.948835342817286e-07, 7.499633984196260e-08
7.840909090909091e-01, 6.747159090909091e-01, -5.096243175332390e-07, 6.492154154834293e-08
8.068181818181818e-01, 6.747159090909091e-01, -5.233561311899960e-07, 5.581116984227882e-08
8.295454545454546e-01, 6.747159090909091e-01, -5.121463189840162e-07, 4.645842573912367e-08
8.522727272727273e-01, 6.747159090909091e-01, -4.933625425266102e-07, 3.631764467273083e-08
