x, y, ux, uy
1.136363636363636e-02, 7.102272727272727e-03, 0.000000000000000e+00, 0.000000000000000e+00
3.409090909090909e-02, 7.102272727272727e-03, 1.902447898074017e-09, -3.396605050480517e-13
5.681818181818182e-02, 7.102272727272727e-03, 1.902447898074017e-09, -3.396605050480517e-13
7.954545454545454e-02, 7.102272727272727e-03, 3.487638171619173e-09, -1.007241314601937e-11
1.022727272727273e-01, 7.102272727272727e-03, 4.683983911573318e-09, 3.986395971230478e-11
1.250000000000000e-01, 7.102272727272727e-03, 5.167049874369023e-09, 5.990788290740785e-11
1.477272727272727e-01, 7.102272727272727e-03, 5.599129219455776e-09, 7.783621128100507e-11
1.704545454545454e-01, 7.102272727272727e-03, 6.262546448970525e-09, 1.153563277038665e-10
1.931818181818182e-01, 7.102272727272727e-03, 6.693145184827699e-09, 1.525520020600556e-10
2.159090909090909e-01, 7.102272727272727e-03, 6.726998998335403e-09, 1.587341841005822e-10
2.386363636363636e-01, 7.102272727272727e-03, 6.899064376613141e-09, 1.901557399363222e-10
2.613636363636364e-01, 7.102272727272727e-03, 6.888787064465043e-09, 2.286195897283823e-10
2.840909090909091e-01, 7.102272727272727e-03, 6.705060564731340e-09, 2.606724581072524e-10
3.068181818181818e-01, 7.102272727272727e-03, 6.672784551851789e-09, 2.663033213421283e-10
3.295454545454545e-01, 7.102272727272727e-03, 6.263095896522614e-09, 3.023772608874881e-10
3.522727272727273e-01, 7.102272727272727e-03, 5.674193526062259e-09, 3.359940340580942e-10
3.750000000000000e-01, 7.102272727272727e-03, 5.297793751350459e-09, 3.510659167113312e-10
3.977272727272727e-01, 7.102272727272727e-03, 4.921941744426956e-09, 3.661158655261838e-10
4.204545454545455e-01, 7.102272727272727e-03, 4.025191677088243e-09, 3.918400325308352e-10
4.431818181818182e-01, 7.102272727272727e-03, 3.004646572780561e-09, 4.123067370679365e-10
4.659090909090909e-01, 7.102272727272727e-03, 2.832463432027205e-09, 4.145301914795717e-10
4.886363636363636e-01, 7.102272727272727e-03, 1.883721257301989e-09, 4.267815940539910e-10
5.113636363636364e-01, 7.102272727272727e-03, 6.881175876442552e-10, 4.347191359975075e-10
5.340909090909091e-01, 7.102272727272727e-03, -3.632028906716731e-10, 4.356443825181404e-10
5.568181818181818e-01, 7.102272727272727e-03, -5.539853293639407e-10, 4.358122863982975e-10
5.795454545454546e-01, 7.102272727272727e-03, -1.812094169883395e-09, 4.299741996375706e-10
6.022727272727273e-01, 7.102272727272727e-03, -3.053355349583611e-09, 4.172802475503161e-10
6.250000000000000e-01, 7.102272727272727e-03, -3.648000068488595e-09, 4.075938683014357e-10
6.477272727272727e-01, 7.102272727272727e-03, -4.242560747927140e-09, 3.979088580013039e-10
6.704545454545454e-01, 7.102272727272727e-03, -5.341907630422407e-09, 3.722481941768047e-10
6.931818181818182e-01, 7.102272727272727e-03, -6.311324446886827e-09, 3.408853818823377e-10
7.159090909090909e-01, 7.102272727272727e-03, -6.434104155034121e-09, 3.353547584186284e-10
7.386363636363636e-01, 7.102272727272727e-03, -7.107841375974093e-09, 3.050062021406255e-10
7.613636363636364e-01, 7.102272727272727e-03, -7.687751967310809e-09, 2.659005064567901e-10
7.840909090909091e-01, 7.102272727272727e-03, -7.958940812236128e-09, 2.310530803014685e-10
8.068181818181818e-01, 7.102272727272727e-03, -8.005099998891775e-09, 2.251216827588623e-10
8.295454545454546e-01, 7.102272727272727e-03, -8.014538874182368e-09, 1.825200239090897e-10
8.522727272727273e-01, 7.102272727272727e-03, -7.669376853164225e-09, 1.383573113614159e-10
8.750000000000000e-01, 7.102272727272727e-03, -7.265329021409777e-09, 1.200793753285045e-10
8.977272727272727e-01, 7.102272727272727e-03, -6.920812280032256e-09, 1.044944508065180e-10
9.204545454545454e-01, 7.102272727272727e-03, -5.735746965727545e-09, 8.867518761846878e-11
9.431818181818182e-01, 7.102272727272727e-03, -4.120175310939040e-09, 4.243883005187153e-11
9.659090909090909e-01, 7.102272727272727e-03, -3.268518419197213e-09, 3.289547572565151e-11
9.886363636363636e-01, 7.102272727272727e-03, -2.160902694992686e-09, 2.048394073324647e-11
1.136363636363636e-02, 2.130681818181818e-02, 3.296434427402332e-10, -5.885409968928878e-14
3.409090909090909e-02, 2.130681818181818e-02, 5.603938526584217e-09, -1.000519694717954e-12
5.681818181818182e-02, 2.130681818181818e-02, 7.539893466564265e-09, -1.227047222520685e-11
7.954545454545454e-02, 2.130681818181818e-02, 1.046291451485752e-08, -3.021723943805812e-11
1.022727272727273e-01, 2.130681818181818e-02, 1.359336836699723e-08, 1.004502637389226e-10
1.250000000000000e-01, 2.130681818181818e-02, 1.550114962310707e-08, 1.797236487222236e-10
1.477272727272727e-01, 2.130681818181818e-02, 1.715901345622446e-08, 2.539606833730433e-10
1.704545454545454e-01, 2.130681818181818e-02, 1.878763934691157e-08, 3.460689831115994e-10
1.931818181818182e-01, 2.130681818181818e-02, 1.974909860033856e-08, 4.291210738847519e-10
2.159090909090909e-01, 2.130681818181818e-02, 2.032349590942424e-08, 5.022248563860185e-10
2.386363636363636e-01, 2.130681818181818e-02, 2.069582451579490e-08, 5.755893922479425e-10
2.613636363636364e-01, 2.130681818181818e-02, 2.066733876993674e-08, 6.822000929948072e-10
2.840909090909091e-01, 2.130681818181818e-02, 2.026511761892145e-08, 7.558595992184467e-10
3.068181818181818e-01, 2.130681818181818e-02, 1.968579162891319e-08, 8.281927432493849e-10
3.295454545454545e-01, 2.130681818181818e-02, 1.878928768956784e-08, 9.071317826624642e-10
3.522727272727273e-01, 2.130681818181818e-02, 1.729182156148250e-08, 9.926128092019891e-10
3.750000000000000e-01, 2.130681818181818e-02, 1.589338125405138e-08, 1.053197750133993e-09
3.977272727272727e-01, 2.130681818181818e-02, 1.435240969209196e-08, 1.110206832291154e-09
4.204545454545455e-01, 2.130681818181818e-02, 1.207557503126473e-08, 1.175520097592505e-09
4.431818181818182e-01, 2.130681818181818e-02, 9.837557556507085e-09, 1.220402819788118e-09
4.659090909090909e-01, 2.130681818181818e-02, 7.720804312812754e-09, 1.253618870606147e-09
4.886363636363636e-01, 2.130681818181818e-02, 5.514363985872360e-09, 1.281252987838371e-09
5.113636363636364e-01, 2.130681818181818e-02, 2.201123255809037e-09, 1.303249396791661e-09
5.340909090909091e-01, 2.130681818181818e-02, -2.290791119224062e-10, 1.306175812376614e-09
5.568181818181818e-01, 2.130681818181818e-02, -2.677538328421624e-09, 1.302724184405119e-09
5.795454545454546e-01, 2.130681818181818e-02, -5.436282509650186e-09, 1.289922598912712e-09
6.022727272727273e-01, 2.130681818181818e-02, -8.588150704063357e-09, 1.257689524601240e-09
6.250000000000000e-01, 2.130681818181818e-02, -1.094400020546578e-08, 1.222781604904307e-09
