x,y,ux,uy
6.349431818181818e-01,1.136363636363636e-02,3.032182290795051e-04,-3.030981560628754e-04
6.548295454545454e-01,1.136363636363636e-02,1.258626915307876e-04,-1.257419272628640e-04
6.747159090909091e-01,1.136363636363636e-02,-5.149284601792995e-05,5.161430153714737e-05
6.946022727272727e-01,1.136363636363636e-02,-1.447543112362510e-04,1.448766092143355e-04
7.144886363636364e-01,1.136363636363636e-02,-8.664644625985758e-05,8.676985887044090e-05
7.343750000000000e-01,1.136363636363636e-02,-2.853858128346418e-05,2.866310852654636e-05
7.542613636363636e-01,1.136363636363636e-02,1.513483165707280e-05,-1.500931226780772e-05
7.741477272727273e-01,1.136363636363636e-02,5.881920466136343e-06,-5.755858047180174e-06
7.940340909090909e-01,1.136363636363636e-02,-3.370990724800109e-06,3.497596173447366e-06
8.139204545454546e-01,1.136363636363636e-02,-1.229078067518894e-05,1.241788832475529e-05
8.338068181818181e-01,1.136363636363636e-02,-1.687999449845872e-05,1.700707357490829e-05
8.536931818181819e-01,1.136363636363636e-02,-2.146920832172856e-05,2.159625882506134e-05
8.735795454545454e-01,1.136363636363636e-02,-2.605842214499835e-05,2.618544407521434e-05
8.934659090909091e-01,1.136363636363636e-02,-2.777980347674781e-05,2.790626605981124e-05
9.133522727272727e-01,1.136363636363636e-02,-2.928058230914955e-05,2.940644471628842e-05
9.332386363636364e-01,1.136363636363636e-02,-3.078136114155129e-05,3.090662337276560e-05
9.531250000000000e-01,1.136363636363636e-02,-3.258891632095936e-05,3.271312925975725e-05
9.730113636363636e-01,1.136363636363636e-02,-3.448013777682370e-05,3.460317893688920e-05
9.928977272727273e-01,1.136363636363636e-02,-3.637135923268805e-05,3.649322861402115e-05
1.012784090909091e+00,1.136363636363636e-02,-3.850021022048420e-05,3.862054036413701e-05
1.032670454545455e+00,1.136363636363636e-02,-4.076107761490916e-05,4.087966437702174e-05
1.052556818181818e+00,1.136363636363636e-02,-4.302194500933409e-05,4.313878838990645e-05
1.072443181818182e+00,1.136363636363636e-02,-4.522988293617683e-05,4.534469713380507e-05
1.092329545454545e+00,1.136363636363636e-02,-4.738489139543734e-05,4.749739060871755e-05
1.112215909090909e+00,1.136363636363636e-02,-4.953989985469787e-05,4.965008408363005e-05
1.132102272727273e+00,1.136363636363636e-02,-5.166598521212626e-05,5.177365031285046e-05
1.151988636363636e+00,1.136363636363636e-02,-5.374000898625682e-05,5.384478749982516e-05
1.171875000000000e+00,1.136363636363636e-02,-5.581403276038740e-05,5.591592468679989e-05
1.191761363636364e+00,1.136363636363636e-02,-5.798411295445864e-05,5.808299580739931e-05
1.211647727272727e+00,1.136363636363636e-02,-6.050640002164549e-05,6.060182468462248e-05
1.231534090909091e+00,1.136363636363636e-02,-6.302868708883237e-05,6.312065356184568e-05
1.251420454545455e+00,1.136363636363636e-02,-6.558895676153748e-05,6.567742421581512e-05
1.271306818181818e+00,1.136363636363636e-02,-6.864300030597932e-05,6.872743796748547e-05
1.291193181818182e+00,1.136363636363636e-02,-7.169704385042117e-05,7.177745171915582e-05
1.311079545454545e+00,1.136363636363636e-02,-7.475108739486305e-05,7.482746547082621e-05
1.330965909090909e+00,1.136363636363636e-02,-7.433447130623336e-05,7.440628881538920e-05
1.350852272727273e+00,1.136363636363636e-02,-7.365088139967510e-05,7.371809751325160e-05
1.370738636363636e+00,1.136363636363636e-02,-7.296729149311682e-05,7.302990621111402e-05
1.390625000000000e+00,1.136363636363636e-02,-5.868877764853444e-05,5.874634185446047e-05
1.410511363636364e+00,1.136363636363636e-02,-4.070255727539994e-05,4.075494848293883e-05
1.430397727272727e+00,1.136363636363636e-02,-2.271633690226565e-05,2.276355511141741e-05
1.450284090909091e+00,1.136363636363636e-02,-9.689057776915625e-06,9.725148114199088e-06
1.470170454545455e+00,1.136363636363636e-02,5.832539885543432e-07,-5.615997861842649e-07
1.490056818181818e+00,1.136363636363636e-02,1.085556575402420e-05,-1.084834768656750e-05
6.349431818181818e-01,3.409090909090909e-02,1.688328834172788e-04,-1.684726643673897e-04
6.548295454545454e-01,3.409090909090909e-02,7.026680304943410e-05,-6.990451024566339e-05
6.747159090909091e-01,3.409090909090909e-02,-2.829927731841063e-05,2.866364387606287e-05
6.946022727272727e-01,3.409090909090909e-02,-8.013216299686301e-05,8.049905693111644e-05
7.144886363636364e-01,3.409090909090909e-02,-4.784529823440869e-05,4.821553606615875e-05
7.343750000000000e-01,3.409090909090909e-02,-1.555843347195436e-05,1.593201520120104e-05
7.542613636363636e-01,3.409090909090909e-02,8.708422970543325e-06,-8.331864802747897e-06
7.741477272727273e-01,3.409090909090909e-02,3.568582239866700e-06,-3.190394982998079e-06
7.940340909090909e-01,3.409090909090909e-02,-1.571258490809925e-06,1.951074836751741e-06
8.139204545454546e-01,3.409090909090909e-02,-6.526252555997701e-06,6.907575504696748e-06
8.338068181818181e-01,3.409090909090909e-02,-9.078239969830519e-06,9.459477199179271e-06
8.536931818181819e-01,3.409090909090909e-02,-1.163022738366336e-05,1.201137889366183e-05
8.735795454545454e-01,3.409090909090909e-02,-1.418221479749618e-05,1.456328058814435e-05
8.934659090909091e-01,3.409090909090909e-02,-1.514203537258374e-05,1.552142312177415e-05
9.133522727272727e-01,3.409090909090909e-02,-1.597938157546013e-05,1.635696879687680e-05
9.332386363636364e-01,3.409090909090909e-02,-1.681672777833651e-05,1.719251447197946e-05
9.531250000000000e-01,3.409090909090909e-02,-1.782542617077067e-05,1.819806498716432e-05
9.730113636363636e-01,3.409090909090909e-02,-1.888085697853877e-05,1.924998045873523e-05
9.928977272727273e-01,3.409090909090909e-02,-1.993628778630687e-05,2.030189593030614e-05
1.012784090909091e+00,3.409090909090909e-02,-2.112463377909533e-05,2.148562421005374e-05
1.032670454545455e+00,3.409090909090909e-02,-2.238682154133955e-05,2.274258182767731e-05
1.052556818181818e+00,3.409090909090909e-02,-2.364900930358377e-05,2.399953944530086e-05
1.072443181818182e+00,3.409090909090909e-02,-2.488249238685983e-05,2.522693497974454e-05
1.092329545454545e+00,3.409090909090909e-02,-2.608727079116771e-05,2.642476843100832e-05
1.112215909090909e+00,3.409090909090909e-02,-2.729204919547562e-05,2.762260188227211e-05
1.132102272727273e+00,3.409090909090909e-02,-2.848123493325099e-05,2.880423023542357e-05
1.151988636363636e+00,3.409090909090909e-02,-2.964235387126785e-05,2.995668941197286e-05
1.171875000000000e+00,3.409090909090909e-02,-3.080347280928472e-05,3.110914858852216e-05
1.191761363636364e+00,3.409090909090909e-02,-3.201824582799653e-05,3.231489438681852e-05
1.211647727272727e+00,3.409090909090909e-02,-3.342975047592310e-05,3.371602446485405e-05
1.231534090909091e+00,3.409090909090909e-02,-3.484125512384967e-05,3.511715454288958e-05
1.251420454545455e+00,3.409090909090909e-02,-3.627397621709807e-05,3.653937857993100e-05
1.271306818181818e+00,3.409090909090909e-02,-3.798251109953011e-05,3.823582408404856e-05
1.291193181818182e+00,3.409090909090909e-02,-3.969104598196217e-05,3.993226958816613e-05
1.311079545454545e+00,3.409090909090909e-02,-4.139958086439424e-05,4.162871509228372e-05
1.330965909090909e+00,3.409090909090909e-02,-4.118153174639932e-05,4.139698427386681e-05
1.350852272727273e+00,3.409090909090909e-02,-4.081528385914079e-05,4.101693219987034e-05
1.370738636363636e+00,3.409090909090909e-02,-4.044903597188224e-05,4.063688012587384e-05
1.390625000000000e+00,3.409090909090909e-02,-3.252949406018228e-05,3.270218667796037e-05
1.410511363636364e+00,3.409090909090909e-02,-2.254996286908916e-05,2.270713649170584e-05
1.430397727272727e+00,3.409090909090909e-02,-1.257043167799613e-05,1.271208630545141e-05
1.450284090909091e+00,3.409090909090909e-02,-5.625534924905422e-06,5.733805936755814e-06
1.470170454545455e+00,3.409090909090909e-02,-3.665461929270531e-07,4.315088000372879e-07
1.490056818181818e+00,3.409090909090909e-02,4.892442539051257e-06,-4.870788336681179e-06
6.349431818181818e-01,5.681818181818182e-02,3.444753775505254e-05,-3.384717267190387e-05
6.548295454545454e-01,5.681818181818182e-02,1.467091456808060e-05,-1.406709322846274e-05
6.747159090909091e-01,5.681818181818182e-02,-5.105708618891326e-06,5.712986214978388e-06
6.946022727272727e-01,5.681818181818182e-02,-1.551001475747501e-05,1.612150464789741e-05
7.144886363636364e-01,5.681818181818182e-02,-9.044150208959767e-06,9.661213261876562e-06
7.343750000000000e-01,5.681818181818182e-02,-2.578285660444527e-06,3.200921875855713e-06
7.542613636363636e-01,5.681818181818182e-02,2.282014284013848e-06,-1.654417337688075e-06
7.741477272727273e-01,5.681818181818182e-02,1.255244013597055e-06,-6.249319188159804e-07
7.940340909090909e-01,5.681818181818182e-02,2.284737431802619e-07,4.045535000561140e-07
8.139204545454546e-01,5.681818181818182e-02,-7.617244368064630e-07,1.397262684638204e-06
8.338068181818181e-01,5.681818181818182e-02,-1.276485441202310e-06,1.911880823450250e-06
8.536931818181819e-01,5.681818181818182e-02,-1.791246445598163e-06,2.426498962262301e-06
8.735795454545454e-01,5.681818181818182e-02,-2.306007449994009e-06,2.941117101074346e-06
8.934659090909091e-01,5.681818181818182e-02,-2.504267268419666e-06,3.136580183737044e-06
9.133522727272727e-01,5.681818181818182e-02,-2.678180841770692e-06,3.307492877465177e-06
9.332386363636364e-01,5.681818181818182e-02,-2.852094415121717e-06,3.478405571193311e-06
9.531250000000000e-01,5.681818181818182e-02,-3.061936020581970e-06,3.683000714571378e-06
9.730113636363636e-01,5.681818181818182e-02,-3.281576180253830e-06,3.896781980581247e-06
9.928977272727273e-01,5.681818181818182e-02,-3.501216339925690e-06,4.110563246591114e-06
1.012784090909091e+00,5.681818181818182e-02,-3.749057337706453e-06,4.350708055970463e-06
1.032670454545455e+00,5.681818181818182e-02,-4.012565467769944e-06,4.605499278332865e-06
1.052556818181818e+00,5.681818181818182e-02,-4.276073597833432e-06,4.860290500695262e-06
1.072443181818182e+00,5.681818181818182e-02,-4.535101837542811e-06,5.109172825684004e-06
1.092329545454545e+00,5.681818181818182e-02,-4.789650186898076e-06,5.352146253299081e-06
1.112215909090909e+00,5.681818181818182e-02,-5.044198536253344e-06,5.595119680914162e-06
1.132102272727273e+00,5.681818181818182e-02,-5.296484654375711e-06,5.834810157996667e-06
1.151988636363636e+00,5.681818181818182e-02,-5.544698756278865e-06,6.068591324120538e-06
1.171875000000000e+00,5.681818181818182e-02,-5.792912858182021e-06,6.302372490244410e-06
1.191761363636364e+00,5.681818181818182e-02,-6.052378701534416e-06,6.546792966237715e-06
1.211647727272727e+00,5.681818181818182e-02,-6.353100930200677e-06,6.830224245085597e-06
1.231534090909091e+00,5.681818181818182e-02,-6.653823158866940e-06,7.113655523933479e-06
1.251420454545455e+00,5.681818181818182e-02,-6.958995672658634e-06,7.401332944046857e-06
1.271306818181818e+00,5.681818181818182e-02,-7.322021893080894e-06,7.744210200611641e-06
