x,y,ux,uy,tx,ty
6.250000000000000e-01,2.556818181818182e-01,2.353817283666412e-07,-6.588927431847890e-08,6.843214871157788e-03,-2.932700778988075e-03
6.250000000000000e-01,2.670454545454545e-01,2.172252870935717e-07,-5.424455083241028e-08,4.231444403133217e-03,-1.834285853234395e-03
6.250000000000000e-01,2.784090909090909e-01,1.966742893899664e-07,-4.088511617642378e-08,3.117729891649457e-03,-1.360470328623216e-03
6.250000000000000e-01,2.897727272727273e-01,1.840980514144911e-07,-3.615974703900498e-08,3.076373313224517e-03,-1.333890009593258e-03
6.250000000000000e-01,3.011363636363636e-01,1.736726231361539e-07,-3.422378931941049e-08,2.987432919926829e-03,-1.287912322385679e-03
6.250000000000000e-01,3.125000000000000e-01,1.613766011145462e-07,-3.103498446490065e-08,2.666205637113067e-03,-1.145587314229607e-03
6.250000000000000e-01,3.238636363636364e-01,1.476583149429594e-07,-2.702066947073769e-08,2.314728128157557e-03,-9.911064304392299e-04
6.250000000000000e-01,3.352272727272727e-01,1.334768365789666e-07,-2.311879976786922e-08,1.998985487842842e-03,-8.519728034560764e-04
6.250000000000000e-01,3.465909090909091e-01,1.188708482929793e-07,-1.934683072815504e-08,1.681273851004439e-03,-7.124856732404731e-04
6.250000000000000e-01,3.579545454545455e-01,1.036520047575705e-07,-1.549509331106684e-08,1.343493448033626e-03,-5.651124938698765e-04
6.250000000000000e-01,3.693181818181818e-01,8.782216490653602e-08,-1.154403947931973e-08,9.935114640668944e-04,-4.131401249804678e-04
6.250000000000000e-01,3.806818181818182e-01,7.145503867953376e-08,-7.545902500662640e-09,6.368680800761568e-04,-2.588856823597868e-04
6.250000000000000e-01,3.920454545454546e-01,5.458626658971942e-08,-3.514790072420870e-09,2.727831396040443e-04,-1.020326492100920e-04
6.250000000000000e-01,4.034090909090909e-01,3.723226163659846e-08,5.544602086901806e-10,-9.942147515597108e-05,5.769313368997450e-05
6.250000000000000e-01,4.147727272727273e-01,1.941779195469615e-08,4.658684640940764e-09,-4.788968608535045e-04,2.199297251469395e-04
6.250000000000000e-01,4.261363636363636e-01,1.174080409025088e-09,8.788280265163663e-09,-8.645721247586569e-04,3.842228466654394e-04
6.250000000000000e-01,4.375000000000000e-01,-1.746630121092794e-08,1.293229711381203e-08,-1.255498901850665e-03,5.501694311075562e-04
6.250000000000000e-01,4.488636363636364e-01,-3.647170931424599e-08,1.708070177704764e-08,-1.651172928326355e-03,7.175516115270283e-04
6.250000000000000e-01,4.602272727272727e-01,-5.581798839935704e-08,2.123092373656090e-08,-2.051966409832472e-03,8.865168744717836e-04
6.250000000000000e-01,4.715909090909091e-01,-7.548027745708907e-08,2.537964821167002e-08,-2.456670317538561e-03,1.056554016553328e-03
6.250000000000000e-01,4.829545454545454e-01,-9.539737478380524e-08,2.948716741550089e-08,-2.859590409434689e-03,1.225283153193184e-03
6.250000000000000e-01,4.943181818181818e-01,-1.154955308918678e-07,3.350115990849519e-08,-3.260113474128198e-03,1.392441653410573e-03
6.250000000000000e-01,5.056818181818181e-01,-1.358448489165600e-07,3.751307744837770e-08,-3.677657081509726e-03,1.566113202472382e-03
6.250000000000000e-01,5.170454545454546e-01,-1.566096502643732e-07,4.170849708148663e-08,-4.116642265283383e-03,1.748133086152806e-03
6.250000000000000e-01,5.284090909090908e-01,-1.773694919015371e-07,4.568812487434779e-08,-4.491322749051347e-03,1.902767034807978e-03
6.250000000000000e-01,5.397727272727273e-01,-1.970648225647795e-07,4.841343856748597e-08,-4.744401472159263e-03,2.006134775684144e-03
6.250000000000000e-01,5.511363636363636e-01,-2.169291257276272e-07,5.113881698475111e-08,-5.223904603634509e-03,2.203240871929863e-03
