x,y,ux,uy,tx,ty
0.625,0.25568181818181818,-8.4243109696781575e-09,8.2147306963456328e-08,-1.0060359031646818e-05,-0.0001100180165347
0.625,0.26704545454545453,-9.7349263621792829e-09,8.0529430857763879e-08,-8.3525185111704561e-06,-0.0001064836370671
0.625,0.27840909090909088,-1.1045541754680407e-08,7.8911554752071431e-08,-6.6446779906940945e-06,-0.00010294925759950001
0.625,0.28977272727272729,-1.2356157147181539e-08,7.7293678646378982e-08,-4.9368374702177235e-06,-9.9414878131899993e-05
0.625,0.30113636363636365,-1.3666772539682664e-08,7.5675802540686546e-08,-3.228996949741362e-06,-9.5880498664299994e-05
0.625,0.3125,-1.497738793218379e-08,7.4057926434994098e-08,-1.5211564292649995e-06,-9.2346119196699995e-05
0.625,0.32386363636363635,-1.6007813355086723e-08,7.0943525082121843e-08,3.6213695686863494e-07,-8.8349053958918189e-05
0.625,0.33522727272727271,-1.7038238777989654e-08,6.7829123729249589e-08,2.2454303430022694e-06,-8.4351988721136369e-05
0.625,0.34659090909090906,-1.8068664200892587e-08,6.4714722376377321e-08,4.1287237291359039e-06,-8.0354923483354562e-05
0.625,0.35795454545454547,-1.9099089623795524e-08,6.1600321023505054e-08,6.0120171152695476e-06,-7.6357858245572729e-05
0.625,0.36931818181818182,-2.0129515046698455e-08,5.84859196706328e-08,7.8953105014031821e-06,-7.2360793007790908e-05
0.625,0.38068181818181818,-2.1007667879170828e-08,5.4816665707662572e-08,9.1907602835999994e-06,-6.7747751902486373e-05
0.625,0.39204545454545459,-2.1733548121212641e-08,5.0592559134594353e-08,9.898366461860002e-06,-6.2518734929659081e-05
0.625,0.40340909090909094,-2.2459428363254451e-08,4.6368452561526153e-08,1.0605972640120001e-05,-5.7289717956831803e-05
0.625,0.41477272727272729,-2.318530860529626e-08,4.2144345988457953e-08,1.1313578818380001e-05,-5.2060700984004539e-05
0.625,0.42613636363636365,-2.3911188847338073e-08,3.792023941538976e-08,1.202118499664e-05,-4.6831684011177268e-05
0.625,0.4375,-2.4637069089379882e-08,3.369613284232156e-08,1.2728791174899999e-05,-4.1602667038349996e-05
0.625,0.44886363636363635,-2.4982232368271734e-08,2.879551141604177e-08,1.3117797379763636e-05,-3.5565371648948184e-05
0.625,0.46022727272727271,-2.5327395647163585e-08,2.389488998976198e-08,1.3506803584627272e-05,-2.9528076259546372e-05
0.625,0.47159090909090906,-2.5672558926055439e-08,1.8994268563482187e-08,1.3895809789490909e-05,-2.349078087014456e-05
0.625,0.48295454545454541,-2.601772220494729e-08,1.4093647137202397e-08,1.4284815994354545e-05,-1.7453485480742748e-05
0.625,0.49431818181818182,-2.6362885483839142e-08,9.1930257109225841e-09,1.4673822199218184e-05,-1.1416190091340906e-05
0.625,0.50568181818181812,-2.6498125801914692e-08,4.1812668438192149e-09,1.481962891719091e-05,-5.2155803252309429e-06
0.625,0.51704545454545459,-2.6423443159173932e-08,-9.4162946410783461e-10,1.4722236148272727e-05,1.1483438175872951e-06
0.625,0.52840909090909083,-2.6348760516433175e-08,-6.0645257720347848e-09,1.4624843379354548e-05,7.5122679604054093e-06
0.625,0.53977272727272729,-2.6274077873692418e-08,-1.1187422079961833e-08,1.4527450610436365e-05,1.3876192103223649e-05
0.625,0.55113636363636365,-2.6199395230951661e-08,-1.6310318387888832e-08,1.4430057841518182e-05,2.0240116246041824e-05
0.625,0.5625,-2.6124712588210904e-08,-2.1433214695815831e-08,1.43326650726e-05,2.6604040388859999e-05
0.625,0.57386363636363635,-2.5612403511097305e-08,-2.6288104912116716e-08,1.3871933917709092e-05,3.2832016089030905e-05
0.625,0.58522727272727271,-2.5100094433983706e-08,-3.1142995128417604e-08,1.3411202762818182e-05,3.9059991789201811e-05
0.625,0.59659090909090917,-2.4587785356870104e-08,-3.5997885344718529e-08,1.2950471607927269e-05,4.5287967489372771e-05
0.625,0.60795454545454541,-2.4075476279756512e-08,-4.0852775561019375e-08,1.2489740453036364e-05,5.1515943189543615e-05
0.625,0.61931818181818188,-2.3563167202642909e-08,-4.57076657773203e-08,1.2029009298145451e-05,5.7743918889714582e-05
0.625,0.63068181818181812,-2.2841893822257967e-08,-5.0166376613842528e-08,1.1034954375238644e-05,6.3634023274813603e-05
0.625,0.64204545454545459,-2.1911656138601663e-08,-5.4228908070586219e-08,9.507575684315904e-06,6.9186256344840928e-05
0.625,0.65340909090909083,-2.0981418454945375e-08,-5.8291439527329831e-08,7.9801969933931925e-06,7.4738489414868145e-05
0.625,0.66477272727272729,-2.0051180771289067e-08,-6.2353970984073522e-08,6.4528183024704522e-06,8.0290722484895456e-05
0.625,0.67613636363636365,-1.9120943087632773e-08,-6.6416502440817173e-08,4.9254396115477263e-06,8.5842955554922727e-05
0.625,0.6875,-1.8190705403976475e-08,-7.0479033897560824e-08,3.3980609206250004e-06,9.1395188624949998e-05
0.625,0.69886363636363635,-1.6855748275804169e-08,-7.3212020134127482e-08,1.362088032161366e-06,9.6219590992049998e-05
0.625,0.71022727272727271,-1.5520791147631864e-08,-7.5945006370694127e-08,-6.7388485630226851e-07,0.00010104399335915
0.625,0.72159090909090917,-1.4185834019459545e-08,-7.8677992607260812e-08,-2.7098577447659237e-06,0.00010586839572625004
0.625,0.73295454545454541,-1.2850876891287253e-08,-8.1410978843827444e-08,-4.7458306332295375e-06,0.00011069279809334998
0.625,0.74431818181818188,-1.1515919763114934e-08,-8.4143965080394128e-08,-6.7818035216931927e-06,0.00011551720046045002
