x,y,ux,uy,tx,ty
0.625,0.25568181818181818,-1.0529481301314786e-08,7.9990417792825017e-08,1.7775735518967274e-05,0.00012131477749618183
0.625,0.26704545454545453,-1.1920992372520485e-08,7.8831779539188821e-08,1.5183956459001821e-05,0.00011774323488854546
0.625,0.27840909090909088,-1.3312503443726185e-08,7.7673141285552626e-08,1.2592177399036369e-05,0.0001141716922809091
0.625,0.28977272727272729,-1.4597200901415047e-08,7.5896538856912726e-08,9.2659138750322662e-06,0.00011090512846319545
0.625,0.30113636363636365,-1.5846293821264957e-08,7.3913948369938257e-08,5.6948221963486325e-06,0.00010774022424212272
0.625,0.3125,-1.7095386741114865e-08,7.1931357882963789e-08,2.1237305176649998e-06,0.00010457532002105
0.625,0.32386363636363635,-1.8244622263138439e-08,6.9216046995892063e-08,2.9890762995954692e-07,0.00010039040470710456
0.625,0.33522727272727271,-1.9393857785162013e-08,6.6500736108820351e-08,-1.5259152577459059e-06,9.6205489393159113e-05
0.625,0.34659090909090906,-2.0510415963777768e-08,6.3627157431263985e-08,-3.1373090704722701e-06,9.1800681704831834e-05
0.625,0.35795454545454547,-2.1528942112170067e-08,6.0278775382253685e-08,-4.1084156582613649e-06,8.6736196893359097e-05
0.625,0.36931818181818182,-2.2547468260562363e-08,5.6930393333243385e-08,-5.079522246050455e-06,8.1671712081886374e-05
0.625,0.38068181818181818,-2.348546608808576e-08,5.331351936358152e-08,-5.9533582314395451e-06,7.6341650835050017e-05
0.625,0.39204545454545459,-2.4342935594740264e-08,4.9428153473268062e-08,-6.7299236144286394e-06,7.0746013152849988e-05
0.625,0.40340909090909094,-2.5200405101394761e-08,4.5542787582954618e-08,-7.5064889974177302e-06,6.5150375470649999e-05
0.625,0.41477272727272729,-2.5921821975067964e-08,4.1330634503184406e-08,-8.1604992066422745e-06,5.9200712911181812e-05
0.625,0.42613636363636365,-2.6597887971080735e-08,3.700955236026194e-08,-8.7736576912786377e-06,5.3133042059290906e-05
0.625,0.4375,-2.7273953967093506e-08,3.2688470217339475e-08,-9.386816175915001e-06,4.7065371207400001e-05
0.625,0.44886363636363635,-2.7755059045912311e-08,2.80404220671751e-08,-9.6930717763459093e-06,4.0502283011436368e-05
0.625,0.46022727272727271,-2.8236164124731119e-08,2.3392373917010728e-08,-9.9993273767768176e-06,3.3939194815472742e-05
0.625,0.47159090909090906,-2.8664351086697303e-08,1.8689758376784822e-08,-1.0248411538390909e-05,2.7285158524997339e-05
0.625,0.48295454545454541,-2.8933783698105629e-08,1.3823440666374308e-08,-1.0325981383554546e-05,2.0358277950986616e-05
0.625,0.49431818181818182,-2.9203216309513951e-08,8.9571229559637711e-09,-1.0403551228718182e-05,1.3431397376975862e-05
0.625,0.50568181818181812,-2.9359992656415531e-08,4.0372336843645726e-09,-1.0506581198245454e-05,6.4185503388978108e-06
0.625,0.51704545454545459,-2.9404112738810366e-08,-9.3622714842340585e-10,-1.0635071292136364e-05,-6.8026316324770586e-07
0.625,0.52840909090909083,-2.9448232821205197e-08,-5.9096879812112858e-09,-1.0763561386027271e-05,-7.7790766653930836e-06
0.625,0.53977272727272729,-2.9321773791298156e-08,-1.087657764363879e-08,-1.0750022935345453e-05,-1.488745937184874e-05
0.625,0.55113636363636365,-2.9138455057290488e-08,-1.584127691594609e-08,-1.0689141636472726e-05,-2.1999031813074369e-05
0.625,0.5625,-2.8955136323282824e-08,-2.0805976188253387e-08,-1.0628260337599999e-05,-2.9110604254299999e-05
0.625,0.57386363636363635,-2.8546720112282073e-08,-2.563897228189903e-08,-1.0226929757025454e-05,-3.6149598415936354e-05
0.625,0.58522727272727271,-2.8138303901281325e-08,-3.047196837554467e-08,-9.8255991764509086e-06,-4.3188592577572712e-05
0.625,0.59659090909090917,-2.7673246097789992e-08,-3.5240000513955177e-08,-9.3663248568613579e-06,-5.0205031933254589e-05
0.625,0.60795454545454541,-2.7038263516826935e-08,-3.9813140786660044e-08,-8.7332193202268196e-06,-5.7153806871072696e-05
0.625,0.61931818181818188,-2.6403280935863861e-08,-4.4386281059365004e-08,-8.1001137835922695e-06,-6.4102581808890945e-05
0.625,0.63068181818181812,-2.5657350930348172e-08,-4.876510040471569e-08,-7.3766341917240953e-06,-7.0963936202572692e-05
0.625,0.64204545454545459,-2.4800473500279836e-08,-5.2949598822712287e-08,-6.56278054462227e-06,-7.7737870052118206e-05
0.625,0.65340909090909083,-2.3943596070211517e-08,-5.7134097240708799e-08,-5.7489268975204609e-06,-8.4511803901663585e-05
0.625,0.66477272727272729,-2.2932738439156679e-08,-6.0929318348535891e-08,-4.3190458400027248e-06,-9.0967125789159103e-05
0.625,0.67613636363636365,-2.1870554074439679e-08,-6.4594780352973108e-08,-2.6838223123463624e-06,-9.731624368930455e-05
0.625,0.6875,-2.0808369709722681e-08,-6.8260242357410325e-08,-1.0485987846900003e-06,-0.00010366536158945
0.625,0.69886363636363635,-1.9560286413346903e-08,-7.1272042996297515e-08,2.174974744306361e-06,-0.00010943089388492272
0.625,0.71022727272727271,-1.8312203116971125e-08,-7.4283843635184705e-08,5.3985482733027221e-06,-0.00011519642618039544
0.625,0.72159090909090917,-1.7009804028852856e-08,-7.7102149415535063e-08,8.6406267251454781e-06,-0.0001208583628087273
0.625,0.73295454545454541,-1.5544457565507191e-08,-7.9339970620274768e-08,1.1938219945527259e-05,-0.00012620951243563636
0.625,0.74431818181818188,-1.4079111102161495e-08,-8.1577791825014512e-08,1.5235813165909107e-05,-0.00013156066206254549
