x,y,ux,uy
7.102272727272727e-03,1.136363636363636e-02,3.083804911682686e-12,-2.084159557589335e-10
2.130681818181818e-02,1.136363636363636e-02,9.251414727397430e-12,-6.252478672630900e-10
3.551136363636364e-02,1.136363636363636e-02,1.541902454311218e-11,-1.042079778767247e-09
4.971590909090909e-02,1.136363636363636e-02,2.158663435882692e-11,-1.458911690271403e-09
6.392045454545454e-02,1.136363636363636e-02,2.775424417454166e-11,-1.875743601775560e-09
7.812500000000000e-02,1.136363636363636e-02,3.392185399025641e-11,-2.292575513279717e-09
9.232954545454546e-02,1.136363636363636e-02,4.008946380597116e-11,-2.709407424783874e-09
1.065340909090909e-01,1.136363636363636e-02,4.625707362168590e-11,-3.126239336288031e-09
1.207386363636364e-01,1.136363636363636e-02,5.242468343740065e-11,-3.543071247792187e-09
1.349431818181818e-01,1.136363636363636e-02,1.208607678298855e-10,-3.986244557983444e-09
1.491477272727273e-01,1.136363636363636e-02,2.159833413267002e-10,-4.440707039040600e-09
1.633522727272727e-01,1.136363636363636e-02,3.111059148235151e-10,-4.895169520097758e-09
1.775568181818182e-01,1.136363636363636e-02,4.062284883203298e-10,-5.349632001154915e-09
1.917613636363636e-01,1.136363636363636e-02,5.013510618171447e-10,-5.804094482212071e-09
2.059659090909091e-01,1.136363636363636e-02,5.964736353139595e-10,-6.258556963269228e-09
2.201704545454546e-01,1.136363636363636e-02,6.915962088107743e-10,-6.713019444326386e-09
2.343750000000000e-01,1.136363636363636e-02,7.867187823075891e-10,-7.167481925383542e-09
2.485795454545454e-01,1.136363636363636e-02,8.818413558044037e-10,-7.621944406440697e-09
2.627840909090909e-01,1.136363636363636e-02,1.105569601558419e-09,-8.060087279671658e-09
2.769886363636364e-01,1.136363636363636e-02,1.343587366452124e-09,-8.496416863144153e-09
2.911931818181818e-01,1.136363636363636e-02,1.581605131345829e-09,-8.932746446616647e-09
3.053977272727273e-01,1.136363636363636e-02,1.819622896239534e-09,-9.369076030089142e-09
3.196022727272727e-01,1.136363636363636e-02,2.057640661133238e-09,-9.805405613561635e-09
3.338068181818182e-01,1.136363636363636e-02,2.295658426026942e-09,-1.024173519703413e-08
