x,y,ux,uy
6.349431818181818e-01,1.136363636363636e-02,-8.254738118338344e-08,-3.470559887228070e-07
6.548295454545454e-01,1.136363636363636e-02,-7.951864467691684e-08,-9.545515493662158e-08
6.747159090909091e-01,1.136363636363636e-02,-6.363225957087878e-08,-5.618891814785640e-08
6.946022727272727e-01,1.136363636363636e-02,-5.042555833982695e-08,-3.960733108523860e-08
7.144886363636364e-01,1.136363636363636e-02,-4.382257788984498e-08,-3.445793856081172e-08
7.343750000000000e-01,1.136363636363636e-02,-3.963322003147944e-08,-3.147771882148575e-08
7.542613636363636e-01,1.136363636363636e-02,-3.636049219014198e-08,-2.937442210426246e-08
7.741477272727273e-01,1.136363636363636e-02,-3.403511848629110e-08,-2.831733701631475e-08
7.940340909090909e-01,1.136363636363636e-02,-3.206894767130390e-08,-2.764688439407754e-08
8.139204545454546e-01,1.136363636363636e-02,-3.032155202197848e-08,-2.721277775366061e-08
8.338068181818181e-01,1.136363636363636e-02,-2.882399044001848e-08,-2.705882329122033e-08
8.536931818181819e-01,1.136363636363636e-02,-2.739507619052362e-08,-2.697044393545639e-08
8.735795454545454e-01,1.136363636363636e-02,-2.603480927349395e-08,-2.694763968636877e-08
8.934659090909092e-01,1.136363636363636e-02,-2.474764969718907e-08,-2.695327794158742e-08
9.133522727272727e-01,1.136363636363636e-02,-2.348608252085696e-08,-2.694995624924157e-08
9.332386363636364e-01,1.136363636363636e-02,-2.226045910960619e-08,-2.692656845837569e-08
9.531250000000000e-01,1.136363636363636e-02,-2.107389263686538e-08,-2.684882131403456e-08
9.730113636363636e-01,1.136363636363636e-02,-1.990877380363070e-08,-2.673651406077103e-08
9.928977272727273e-01,1.136363636363636e-02,-1.878323937674189e-08,-2.655184576160061e-08
1.012784090909091e+00,1.136363636363636e-02,-1.769182827266970e-08,-2.629942574928889e-08
1.032670454545455e+00,1.136363636363636e-02,-1.662334491257868e-08,-2.600132592267790e-08
1.052556818181818e+00,1.136363636363636e-02,-1.560647600390077e-08,-2.559870643841919e-08
1.072443181818182e+00,1.136363636363636e-02,-1.461812345655261e-08,-2.513816368432446e-08
1.092329545454545e+00,1.136363636363636e-02,-1.365828727053421e-08,-2.461969766039371e-08
1.112215909090909e+00,1.136363636363636e-02,-1.275160615501333e-08,-2.399287466123155e-08
1.132102272727273e+00,1.136363636363636e-02,-1.186913675335047e-08,-2.331628733127962e-08
1.151988636363636e+00,1.136363636363636e-02,-1.102288850379389e-08,-2.256512747939967e-08
1.171875000000000e+00,1.136363636363636e-02,-1.021951459255046e-08,-2.172414545183482e-08
1.191761363636364e+00,1.136363636363636e-02,-9.439009540137148e-09,-2.083468064945113e-08
1.211647727272727e+00,1.136363636363636e-02,-8.699482631787739e-09,-1.985726784841662e-08
1.231534090909091e+00,1.136363636363636e-02,-7.991644309790695e-09,-1.880982248001657e-08
1.251420454545455e+00,1.136363636363636e-02,-7.304702321385474e-09,-1.771595210335837e-08
1.271306818181818e+00,1.136363636363636e-02,-6.660550657129232e-09,-1.652434738365133e-08
1.291193181818182e+00,1.136363636363636e-02,-6.037632338512541e-09,-1.528245289339171e-08
1.311079545454545e+00,1.136363636363636e-02,-5.435947365535375e-09,-1.399026863257948e-08
1.330965909090909e+00,1.136363636363636e-02,-4.869666510796677e-09,-1.261050544033435e-08
1.350852272727273e+00,1.136363636363636e-02,-4.317610150096917e-09,-1.119357023026991e-08
1.370738636363636e+00,1.136363636363636e-02,-3.786255769988065e-09,-9.721851701713720e-09
1.390625000000000e+00,1.136363636363636e-02,-3.272551741142523e-09,-8.194464000325330e-09
1.410511363636364e+00,1.136363636363636e-02,-2.764339614665738e-09,-6.642594708266552e-09
1.430397727272727e+00,1.136363636363636e-02,-2.258614112277743e-09,-5.056628756581890e-09
1.450284090909091e+00,1.136363636363636e-02,-1.722697351999668e-09,-3.476499959322675e-09
1.470170454545455e+00,1.136363636363636e-02,-1.154508891183641e-09,-1.920782883583006e-09
1.490056818181818e+00,1.136363636363636e-02,-3.848362970248887e-10,-6.402609611916469e-10
6.349431818181818e-01,3.409090909090909e-02,-2.831001862917424e-07,-3.771317748065067e-07
6.548295454545454e-01,3.409090909090909e-02,-2.335560235418870e-07,-2.339908705630735e-07
6.747159090909091e-01,3.409090909090909e-02,-1.873760404671426e-07,-1.649039440774321e-07
6.946022727272727e-01,3.409090909090909e-02,-1.509330907883808e-07,-1.185102803625908e-07
