x,y,ux,uy,tx,ty
6.250000000000000e-01,2.556818181818182e-01,-1.701806201445995e-07,-3.387853540225158e-07,6.152283918626928e-04,2.979754313712032e-04
6.250000000000000e-01,2.670454545454545e-01,-1.587281232614347e-07,-3.359584618227827e-07,6.511599983750210e-04,2.897993951731054e-04
6.250000000000000e-01,2.784090909090909e-01,-1.472756263782698e-07,-3.331315696230496e-07,6.870916048873485e-04,2.816233589750076e-04
6.250000000000000e-01,2.897727272727273e-01,-1.358231294951050e-07,-3.303046774233165e-07,7.230232113996758e-04,2.734473227769097e-04
6.250000000000000e-01,3.011363636363636e-01,-1.243706326119402e-07,-3.274777852235834e-07,7.589548179120032e-04,2.652712865788119e-04
6.250000000000000e-01,3.125000000000000e-01,-1.129181357287754e-07,-3.246508930238503e-07,7.948864244243306e-04,2.570952503807141e-04
6.250000000000000e-01,3.238636363636364e-01,-6.075254040398004e-08,-3.390163646343234e-07,3.600743976277534e-03,5.174206938063037e-04
6.250000000000000e-01,3.352272727272727e-01,-8.586945079184658e-09,-3.533818362447964e-07,4.145570603959198e-03,3.637812077188237e-04
6.250000000000000e-01,3.465909090909091e-01,4.357865024561073e-08,-3.677473078552695e-07,4.690397231640863e-03,2.101417216313434e-04
6.250000000000000e-01,3.579545454545455e-01,9.574424557040638e-08,-3.821127794657426e-07,5.235223859322530e-03,5.650223554386220e-05
6.250000000000000e-01,3.693181818181818e-01,1.479098408952018e-07,-3.964782510762157e-07,5.780050487004194e-03,-9.713725054361824e-05
6.250000000000000e-01,3.806818181818182e-01,1.605036378933486e-07,-4.120918178970905e-07,3.066966670296278e-04,-1.599301082706443e-03
6.250000000000000e-01,3.920454545454546e-01,1.335256365648468e-07,-4.289534799283670e-07,1.343126138076352e-04,-1.576268755936271e-03
6.250000000000000e-01,4.034090909090909e-01,1.065476352363451e-07,-4.458151419596436e-07,-3.807143941435661e-05,-1.553236429166099e-03
6.250000000000000e-01,4.147727272727273e-01,7.956963390784334e-08,-4.626768039909201e-07,-2.104554926363483e-04,-1.530204102395926e-03
6.250000000000000e-01,4.261363636363636e-01,5.259163257934163e-08,-4.795384660221966e-07,-3.828395458583399e-04,-1.507171775625754e-03
6.250000000000000e-01,4.375000000000000e-01,2.561363125083992e-08,-4.964001280534731e-07,-5.552235990803322e-04,-1.484139448855582e-03
6.250000000000000e-01,4.488636363636364e-01,-1.061481580949262e-08,-4.906631928640469e-07,-6.348694133400893e-04,-1.198611282772697e-03
6.250000000000000e-01,4.602272727272727e-01,-4.684326286982516e-08,-4.849262576746206e-07,-8.587544702476936e-04,-1.148010582893959e-03
6.250000000000000e-01,4.715909090909091e-01,-8.307170993015771e-08,-4.791893224851944e-07,-1.082639527155296e-03,-1.097409883015221e-03
6.250000000000000e-01,4.829545454545454e-01,-1.193001569904903e-07,-4.734523872957681e-07,-1.306524584062900e-03,-1.046809183136482e-03
6.250000000000000e-01,4.943181818181818e-01,-1.555286040508230e-07,-4.677154521063418e-07,-1.530409640970505e-03,-9.962084832577432e-04
6.250000000000000e-01,5.056818181818181e-01,-1.848361064308632e-07,-4.525554819668193e-07,-9.607463161068349e-05,-3.694724587621610e-04
6.250000000000000e-01,5.170454545454546e-01,-2.072226641306117e-07,-4.279724768771999e-07,-2.792208989272906e-04,-3.172172756290910e-04
6.250000000000000e-01,5.284090909090908e-01,-2.296092218303597e-07,-4.033894717875811e-07,-4.623671662438915e-04,-2.649620924960221e-04
6.250000000000000e-01,5.397727272727273e-01,-2.519957795301082e-07,-3.788064666979617e-07,-6.455134335604982e-04,-2.127069093629519e-04
6.250000000000000e-01,5.511363636363636e-01,-2.743823372298564e-07,-3.542234616083426e-07,-8.286597008771018e-04,-1.604517262298827e-04
6.250000000000000e-01,5.625000000000000e-01,-2.967688949296047e-07,-3.296404565187235e-07,-1.011805968193706e-03,-1.081965430968130e-04
6.250000000000000e-01,5.738636363636364e-01,-2.920488146647604e-07,-2.947130346964687e-07,1.240099763182682e-03,5.747466288435865e-04
6.250000000000000e-01,5.852272727272727e-01,-2.873287343999162e-07,-2.597856128742139e-07,1.219574712862978e-03,5.985512381127682e-04
6.250000000000000e-01,5.965909090909092e-01,-2.826086541350718e-07,-2.248581910519587e-07,1.199049662543275e-03,6.223558473819505e-04
6.250000000000000e-01,6.079545454545454e-01,-2.778885738702276e-07,-1.899307692297043e-07,1.178524612223571e-03,6.461604566511323e-04
6.250000000000000e-01,6.193181818181819e-01,-2.731684936053833e-07,-1.550033474074491e-07,1.157999561903867e-03,6.699650659203147e-04
6.250000000000000e-01,6.306818181818181e-01,-2.696727580843213e-07,-1.216568422701188e-07,8.189516063214221e-04,6.026623761298990e-04
6.250000000000000e-01,6.420454545454546e-01,-2.674013673070416e-07,-8.989125381771219e-08,7.287492945626584e-04,6.417427918608259e-04
6.250000000000000e-01,6.534090909090908e-01,-2.651299765297619e-07,-5.812566536530615e-08,6.385469828038969e-04,6.808232075917523e-04
6.250000000000000e-01,6.647727272727273e-01,-2.628585857524823e-07,-2.636007691289949e-08,5.483446710451344e-04,7.199036233226793e-04
6.250000000000000e-01,6.761363636363636e-01,-2.605871949752025e-07,5.405511539506861e-09,4.581423592863718e-04,7.589840390536060e-04
6.250000000000000e-01,6.875000000000000e-01,-2.583158041979229e-07,3.717109999191321e-08,3.679400475276091e-04,7.980644547845330e-04
6.250000000000000e-01,6.988636363636364e-01,-2.391740422739676e-07,6.036301793219198e-08,1.360716685646141e-03,9.318924967078081e-04
6.250000000000000e-01,7.102272727272727e-01,-2.200322803500123e-07,8.355493587247075e-08,1.467612397065599e-03,9.196986074630376e-04
6.250000000000000e-01,7.215909090909092e-01,-2.008905184260568e-07,1.067468538127497e-07,1.574508108485058e-03,9.075047182182669e-04
6.250000000000000e-01,7.329545454545454e-01,-1.817487565021017e-07,1.299387717530283e-07,1.681403819904515e-03,8.953108289734965e-04
