x,y,ux,uy,tx,ty
6.250000000000000e-01,2.556818181818182e-01,-6.601216863474072e-07,-5.613821983579641e-07,2.932314273111024e-03,-1.918722208241735e-04
6.250000000000000e-01,2.670454545454545e-01,-6.861846156146206e-07,-5.515292472082437e-07,2.889274596382139e-03,-2.021491347066854e-04
6.250000000000000e-01,2.784090909090909e-01,-7.122475448818342e-07,-5.416762960585233e-07,2.846234919653263e-03,-2.124260485891956e-04
6.250000000000000e-01,2.897727272727273e-01,-7.421240376347640e-07,-5.268968250150246e-07,3.092883946362426e-03,-2.306850511528406e-04
6.250000000000000e-01,3.011363636363636e-01,-7.732717182162657e-07,-5.104751806736000e-07,2.909131392121186e-03,-1.645468264684546e-04
6.250000000000000e-01,3.125000000000000e-01,-8.044193987977674e-07,-4.940535363321754e-07,2.725378837879938e-03,-9.840860178406701e-05
6.250000000000000e-01,3.238636363636364e-01,-8.323656192361894e-07,-4.700659659206386e-07,1.892633922111532e-03,-4.657837063003246e-04
6.250000000000000e-01,3.352272727272727e-01,-8.603118396746114e-07,-4.460783955091018e-07,1.720629493638504e-03,-3.593938174361273e-04
6.250000000000000e-01,3.465909090909091e-01,-8.865348820863713e-07,-4.206185991806118e-07,5.084142054295696e-04,-8.158885720926922e-04
6.250000000000000e-01,3.579545454545455e-01,-9.075883904181451e-07,-3.907421251012622e-07,4.014525005971421e-04,-7.114728810064443e-04
6.250000000000000e-01,3.693181818181818e-01,-9.286418987499191e-07,-3.608656510219128e-07,2.944907957647268e-04,-6.070571899201939e-04
6.250000000000000e-01,3.806818181818182e-01,-9.470015245933523e-07,-3.289560696738674e-07,-6.204901931111120e-04,-9.159429792460937e-04
6.250000000000000e-01,3.920454545454546e-01,-9.626672679484453e-07,-2.950133810571260e-07,-7.296836723437900e-04,-8.061800517457436e-04
6.250000000000000e-01,4.034090909090909e-01,-9.783330113035381e-07,-2.610706924403848e-07,-8.388771515764638e-04,-6.964171242453986e-04
6.250000000000000e-01,4.147727272727273e-01,-9.898274610488653e-07,-2.247790732101331e-07,-1.749280094251631e-03,-9.623148246752776e-04
6.250000000000000e-01,4.261363636363636e-01,-9.999314795909375e-07,-1.877044771087112e-07,-1.866156004174423e-03,-8.434063062834223e-04
6.250000000000000e-01,4.375000000000000e-01,-1.010035498133010e-06,-1.506298810072892e-07,-1.983031914097210e-03,-7.244977878915739e-04
6.250000000000000e-01,4.488636363636364e-01,-1.012544795576347e-06,-1.114958986424550e-07,-3.032468209284282e-03,-1.055729364224147e-03
6.250000000000000e-01,4.602272727272727e-01,-1.015054093019684e-06,-7.236191627762081e-08,-3.073744468635031e-03,-9.621802166222309e-04
6.250000000000000e-01,4.715909090909091e-01,-1.016587362701642e-06,-3.314892390282513e-08,-3.615843459409977e-03,-1.053715294375438e-03
6.250000000000000e-01,4.829545454545454e-01,-1.015192549099465e-06,6.301098501854964e-09,-3.691966283617806e-03,-9.577564571706448e-04
6.250000000000000e-01,4.943181818181818e-01,-1.013797735497287e-06,4.575112090653525e-08,-3.768089107825654e-03,-8.617976199658483e-04
6.250000000000000e-01,5.056818181818181e-01,-1.009994726932736e-06,8.519461266931444e-08,-4.432513588064853e-03,-9.785473984827010e-04
6.250000000000000e-01,5.170454545454546e-01,-1.003783523405810e-06,1.246315737901934e-07,-4.499400761257119e-03,-8.853128723178832e-04
6.250000000000000e-01,5.284090909090908e-01,-9.975723198788846e-07,1.640685349110717e-07,-4.566287934449388e-03,-7.920783461530669e-04
