iteration,interface_residual
1,3.325298588460088e-04
2,4.454816260897663e-04
3,1.141833142465829e-03
4,1.234110858789249e-03
5,1.001016533014383e-03
6,7.109754079499726e-04
7,4.603944268280505e-04
8,3.493842098494885e-04
9,3.421555464400342e-04
10,3.042585961402022e-04
11,2.291813739666505e-04
12,1.522967777371199e-04
13,8.946876508882170e-05
14,4.786446439386770e-05
15,3.400296483012458e-05
16,3.392627198835287e-05
17,3.767708990857676e-05
18,4.402670834621662e-05
19,4.770772754449490e-05
20,4.610501159611766e-05
21,4.033110251037608e-05
22,3.262213584357416e-05
23,2.490501187316366e-05
24,1.838417747264120e-05
25,1.334757947938671e-05
26,9.408827590979959e-06
27,6.189872758588460e-06
28,3.694117801395245e-06
29,2.258639624725900e-06
30,2.107216717836832e-06
31,2.449844906960754e-06
32,2.674126539615679e-06
33,2.703153933428392e-06
34,2.588197047730433e-06
35,2.373536269321277e-06
36,2.085261889774551e-06
37,1.748947943247452e-06
38,1.396311325148730e-06
39,1.058906441479597e-06
40,7.601829049800008e-07
