x,y,ux,uy,tx,ty
6.250000000000000e-01,2.556818181818182e-01,3.245687206341378e-06,3.288893920577702e-06,1.547096157737077e-03,1.007310643309564e-03
6.250000000000000e-01,2.670454545454545e-01,3.245687206341378e-06,3.288893920577702e-06,1.547096157737077e-03,1.007310643309564e-03
6.250000000000000e-01,2.784090909090909e-01,2.730880167740030e-06,2.639108899366590e-06,-5.909238293347566e-03,8.921544889158219e-04
6.250000000000000e-01,2.897727272727273e-01,2.730880167740030e-06,2.639108899366590e-06,-5.909238293347566e-03,8.921544889158219e-04
6.250000000000000e-01,3.011363636363636e-01,2.730880167740030e-06,2.639108899366590e-06,-5.909238293347566e-03,8.921544889158219e-04
6.250000000000000e-01,3.125000000000000e-01,2.055094333831368e-06,1.848878370227040e-06,-1.222670511867112e-02,7.887684605059136e-04
6.250000000000000e-01,3.238636363636364e-01,2.055094333831368e-06,1.848878370227040e-06,-1.222670511867112e-02,7.887684605059136e-04
6.250000000000000e-01,3.352272727272727e-01,2.055094333831368e-06,1.848878370227040e-06,-1.222670511867112e-02,7.887684605059136e-04
6.250000000000000e-01,3.465909090909091e-01,2.055094333831368e-06,1.848878370227040e-06,-1.222670511867112e-02,7.887684605059136e-04
6.250000000000000e-01,3.579545454545455e-01,1.263828315610186e-06,9.628310430856621e-07,-1.746212802542791e-02,6.932391911586780e-04
6.250000000000000e-01,3.693181818181818e-01,1.263828315610186e-06,9.628310430856621e-07,-1.746212802542791e-02,6.932391911586780e-04
6.250000000000000e-01,3.806818181818182e-01,1.263828315610186e-06,9.628310430856621e-07,-1.746212802542791e-02,6.932391911586780e-04
6.250000000000000e-01,3.920454545454546e-01,1.263828315610186e-06,9.628310430856621e-07,-1.746212802542791e-02,6.932391911586780e-04
6.250000000000000e-01,4.034090909090909e-01,4.005091715325370e-07,2.411563434691025e-08,-2.163354268419213e-02,6.020771782063052e-04
6.250000000000000e-01,4.147727272727273e-01,4.005091715325370e-07,2.411563434691025e-08,-2.163354268419213e-02,6.020771782063052e-04
6.250000000000000e-01,4.261363636363636e-01,4.005091715325370e-07,2.411563434691025e-08,-2.163354268419213e-02,6.020771782063052e-04
6.250000000000000e-01,4.375000000000000e-01,-4.927505937439876e-07,-9.250088394197353e-07,-2.472937755004772e-02,5.115157665060166e-04
6.250000000000000e-01,4.488636363636364e-01,-4.927505937439876e-07,-9.250088394197353e-07,-2.472937755004772e-02,5.115157665060166e-04
6.250000000000000e-01,4.602272727272727e-01,-4.927505937439876e-07,-9.250088394197353e-07,-2.472937755004772e-02,5.115157665060166e-04
6.250000000000000e-01,4.715909090909091e-01,-4.927505937439876e-07,-9.250088394197353e-07,-2.472937755004772e-02,5.115157665060166e-04
6.250000000000000e-01,4.829545454545454e-01,-1.374785750926548e-06,-1.842926425941022e-06,-2.671457178855472e-02,4.171596210965863e-04
6.250000000000000e-01,4.943181818181818e-01,-1.374785750926548e-06,-1.842926425941022e-06,-2.671457178855472e-02,4.171596210965863e-04
6.250000000000000e-01,5.056818181818181e-01,-1.374785750926548e-06,-1.842926425941022e-06,-2.671457178855472e-02,4.171596210965863e-04
6.250000000000000e-01,5.170454545454546e-01,-1.374785750926548e-06,-1.842926425941022e-06,-2.671457178855472e-02,4.171596210965863e-04
6.250000000000000e-01,5.284090909090908e-01,-2.205312344183714e-06,-2.688712775081825e-06,-2.753624775427584e-02,3.138491247217400e-04
6.250000000000000e-01,5.397727272727273e-01,-2.205312344183714e-06,-2.688712775081825e-06,-2.753624775427584e-02,3.138491247217400e-04
6.250000000000000e-01,5.511363636363636e-01,-2.205312344183714e-06,-2.688712775081825e-06,-2.753624775427584e-02,3.138491247217400e-04
6.250000000000000e-01,5.625000000000000e-01,-2.945132259278905e-06,-3.422466856223249e-06,-2.713003997487084e-02,1.956266185875343e-04
6.250000000000000e-01,5.738636363636364e-01,-2.945132259278905e-06,-3.422466856223249e-06,-2.713003997487084e-02,1.956266185875343e-04
6.250000000000000e-01,5.852272727272727e-01,-2.945132259278905e-06,-3.422466856223249e-06,-2.713003997487084e-02,1.956266185875343e-04
6.250000000000000e-01,5.965909090909092e-01,-2.945132259278905e-06,-3.422466856223249e-06,-2.713003997487084e-02,1.956266185875343e-04
6.250000000000000e-01,6.079545454545454e-01,-3.556609333624995e-06,-4.005935716374071e-06,-2.542735251064664e-02,5.570920950859331e-05
6.250000000000000e-01,6.193181818181819e-01,-3.556609333624995e-06,-4.005935716374071e-06,-2.542735251064664e-02,5.570920950859331e-05
6.250000000000000e-01,6.306818181818181e-01,-3.556609333624995e-06,-4.005935716374071e-06,-2.542735251064664e-02,5.570920950859331e-05
6.250000000000000e-01,6.420454545454546e-01,-3.556609333624995e-06,-4.005935716374071e-06,-2.542735251064664e-02,5.570920950859331e-05
6.250000000000000e-01,6.534090909090908e-01,-4.004441506966775e-06,-4.403467355843820e-06,-2.236362443151282e-02,-1.136035079186853e-04
6.250000000000000e-01,6.647727272727273e-01,-4.004441506966775e-06,-4.403467355843820e-06,-2.236362443151282e-02,-1.136035079186853e-04
6.250000000000000e-01,6.761363636363636e-01,-4.004441506966775e-06,-4.403467355843820e-06,-2.236362443151282e-02,-1.136035079186853e-04
6.250000000000000e-01,6.875000000000000e-01,-4.256783965907513e-06,-4.583372335137319e-06,-1.788808968720278e-02,-3.211449992193837e-04
6.250000000000000e-01,6.988636363636364e-01,-4.256783965907513e-06,-4.583372335137319e-06,-1.788808968720278e-02,-3.211449992193837e-04
6.250000000000000e-01,7.102272727272727e-01,-4.256783965907513e-06,-4.583372335137319e-06,-1.788808968720278e-02,-3.211449992193837e-04
6.250000000000000e-01,7.215909090909092e-01,-4.256783965907513e-06,-4.583372335137319e-06,-1.788808968720278e-02,-3.211449992193837e-04
6.250000000000000e-01,7.329545454545454e-01,-4.286832018679538e-06,-4.519865315933544e-06,-1.197652126900839e-02,-5.773061129856894e-04
6.250000000000000e-01,7.443181818181819e-01,-4.286832018679538e-06,-4.519865315933544e-06,-1.197652126900839e-02,-5.773061129856894e-04
