x,y,ux,uy
7.102272727272727e-03,1.136363636363636e-02,1.523460267576253e-08,3.017037871884792e-08
7.102272727272727e-03,3.409090909090909e-02,1.523460267580546e-08,3.017037871887452e-08
7.102272727272727e-03,5.681818181818182e-02,1.523460267584840e-08,3.017037871890112e-08
7.102272727272727e-03,7.954545454545454e-02,1.523460267589134e-08,3.017037871892772e-08
7.102272727272727e-03,1.022727272727273e-01,1.523460267593428e-08,3.017037871895432e-08
7.102272727272727e-03,1.250000000000000e-01,1.523460267597721e-08,3.017037871898092e-08
7.102272727272727e-03,1.477272727272727e-01,7.437203319426151e-09,1.353122116344671e-08
7.102272727272727e-03,1.704545454545454e-01,7.437203319373026e-09,1.353122116336098e-08
7.102272727272727e-03,1.931818181818182e-01,7.437203319319899e-09,1.353122116327525e-08
7.102272727272727e-03,2.159090909090909e-01,7.437203319266775e-09,1.353122116318951e-08
7.102272727272727e-03,2.386363636363636e-01,7.437203319213650e-09,1.353122116310378e-08
7.102272727272727e-03,2.613636363636364e-01,-9.037067222587935e-09,-1.123441647309038e-08
7.102272727272727e-03,2.840909090909091e-01,-9.037067222665394e-09,-1.123441647319232e-08
7.102272727272727e-03,3.068181818181818e-01,-9.037067222742851e-09,-1.123441647329426e-08
7.102272727272727e-03,3.295454545454545e-01,-9.037067222820308e-09,-1.123441647339620e-08
7.102272727272727e-03,3.522727272727273e-01,-9.037067222897767e-09,-1.123441647349814e-08
7.102272727272727e-03,3.750000000000000e-01,-9.037067222975226e-09,-1.123441647360007e-08
7.102272727272727e-03,3.977272727272727e-01,-2.306390286267347e-08,-3.175624460408835e-08
7.102272727272727e-03,4.204545454545455e-01,-2.306390286273570e-08,-3.175624460416337e-08
7.102272727272727e-03,4.431818181818182e-01,-2.306390286279794e-08,-3.175624460423839e-08
7.102272727272727e-03,4.659090909090909e-01,-2.306390286286017e-08,-3.175624460431341e-08
7.102272727272727e-03,4.886363636363636e-01,-2.306390286292240e-08,-3.175624460438842e-08
7.102272727272727e-03,5.113636363636364e-01,-3.033456735876287e-08,-4.298029490278536e-08
7.102272727272727e-03,5.340909090909091e-01,-3.033456735879433e-08,-4.298029490281610e-08
7.102272727272727e-03,5.568181818181818e-01,-3.033456735882578e-08,-4.298029490284684e-08
7.102272727272727e-03,5.795454545454546e-01,-3.033456735885723e-08,-4.298029490287758e-08
7.102272727272727e-03,6.022727272727273e-01,-3.033456735888868e-08,-4.298029490290832e-08
7.102272727272727e-03,6.250000000000000e-01,-3.033456735892012e-08,-4.298029490293907e-08
7.102272727272727e-03,6.477272727272727e-01,-2.899418545421156e-08,-4.261618914979992e-08
7.102272727272727e-03,6.704545454545454e-01,-2.899418545420404e-08,-4.261618914977750e-08
7.102272727272727e-03,6.931818181818182e-01,-2.899418545419653e-08,-4.261618914975508e-08
7.102272727272727e-03,7.159090909090909e-01,-2.899418545418901e-08,-4.261618914973266e-08
7.102272727272727e-03,7.386363636363636e-01,-2.899418545418149e-08,-4.261618914971024e-08
7.102272727272727e-03,7.613636363636364e-01,-1.746212588546325e-08,-2.920202331056501e-08
7.102272727272727e-03,7.840909090909091e-01,-1.746212588541746e-08,-2.920202331048726e-08
7.102272727272727e-03,8.068181818181818e-01,-1.746212588537168e-08,-2.920202331040951e-08
7.102272727272727e-03,8.295454545454546e-01,-1.746212588532589e-08,-2.920202331033177e-08
7.102272727272727e-03,8.522727272727273e-01,-1.746212588528011e-08,-2.920202331025402e-08
