x,y,ux,uy
6.349431818181818e-01,1.136363636363636e-02,3.996105551740809e-07,4.764607646152381e-07
6.349431818181818e-01,3.409090909090909e-02,1.159151475491735e-06,1.796184308037785e-06
6.349431818181818e-01,5.681818181818182e-02,1.872211900300846e-06,2.653669902075291e-06
6.349431818181818e-01,7.954545454545454e-02,2.529049637987103e-06,3.209621232127420e-06
6.349431818181818e-01,1.022727272727273e-01,2.969193860310633e-06,3.565639194842861e-06
6.349431818181818e-01,1.250000000000000e-01,3.353307364483631e-06,3.815775876158693e-06
6.349431818181818e-01,1.477272727272727e-01,3.518307636423475e-06,3.904217269160893e-06
6.349431818181818e-01,1.704545454545454e-01,3.647886931311628e-06,3.933560176287290e-06
6.349431818181818e-01,1.931818181818182e-01,3.628352098426081e-06,3.835978911460050e-06
6.349431818181818e-01,2.159090909090909e-01,3.559279909812739e-06,3.695317424316008e-06
6.349431818181818e-01,2.386363636363636e-01,3.393275230750721e-06,3.450860305768565e-06
6.349431818181818e-01,2.613636363636364e-01,3.168648281799174e-06,3.173669954025066e-06
6.349431818181818e-01,2.840909090909091e-01,2.887844241704804e-06,2.819241721460911e-06
6.349431818181818e-01,3.068181818181818e-01,2.545216259573839e-06,2.434242171190688e-06
6.349431818181818e-01,3.295454545454545e-01,2.176605770048647e-06,2.003207343421683e-06
6.349431818181818e-01,3.522727272727273e-01,1.750110253708484e-06,1.543783955406461e-06
6.349431818181818e-01,3.750000000000000e-01,1.318510613810800e-06,1.060485426331030e-06
6.349431818181818e-01,3.977272727272727e-01,8.402182674362643e-07,5.584097227909883e-07
6.349431818181818e-01,4.204545454545455e-01,3.630710052663902e-07,4.726352937707150e-08
6.349431818181818e-01,4.431818181818182e-01,-1.298881597919240e-07,-4.674723958048911e-07
6.349431818181818e-01,4.659090909090909e-01,-6.234039712368752e-07,-9.797534137352026e-07
6.349431818181818e-01,4.886363636363636e-01,-1.107115310052346e-06,-1.480514079799941e-06
6.349431818181818e-01,5.113636363636364e-01,-1.586527643995644e-06,-1.966936866461707e-06
6.349431818181818e-01,5.340909090909091e-01,-2.039542131452545e-06,-2.428274861854135e-06
6.349431818181818e-01,5.568181818181818e-01,-2.473017869231425e-06,-2.859285421016723e-06
6.349431818181818e-01,5.795454545454546e-01,-2.876555987734686e-06,-3.259514908408648e-06
6.349431818181818e-01,6.022727272727273e-01,-3.235876381013707e-06,-3.606676427382878e-06
6.349431818181818e-01,6.250000000000000e-01,-3.569409315462286e-06,-3.924932160273814e-06
6.349431818181818e-01,6.477272727272727e-01,-3.827949958049319e-06,-4.161548272958096e-06
6.349431818181818e-01,6.704545454545454e-01,-4.059695869903145e-06,-4.367679722997908e-06
6.349431818181818e-01,6.931818181818182e-01,-4.205861336870861e-06,-4.480565127620411e-06
6.349431818181818e-01,7.159090909090909e-01,-4.312592169313930e-06,-4.555109868396480e-06
6.349431818181818e-01,7.386363636363636e-01,-4.331952843214325e-06,-4.526929514175579e-06
6.349431818181818e-01,7.613636363636364e-01,-4.292605223450869e-06,-4.450504389580912e-06
6.349431818181818e-01,7.840909090909091e-01,-4.177098817011862e-06,-4.273822471223709e-06
6.349431818181818e-01,8.068181818181818e-01,-3.977160709731678e-06,-4.030557039677492e-06
6.349431818181818e-01,8.295454545454546e-01,-3.724885502724423e-06,-3.709886119824117e-06
6.349431818181818e-01,8.522727272727273e-01,-3.363521358806646e-06,-3.303739391008441e-06
6.349431818181818e-01,8.750000000000000e-01,-2.978085323624578e-06,-2.849089084257106e-06
6.349431818181818e-01,8.977272727272727e-01,-2.471426169729272e-06,-2.308592958602073e-06
6.349431818181818e-01,9.204545454545454e-01,-1.951446217649368e-06,-1.744612771920904e-06
6.349431818181818e-01,9.431818181818182e-01,-1.362420977776469e-06,-1.161683517276430e-06
6.349431818181818e-01,9.659090909090909e-01,-7.644774667271640e-07,-5.903726949421160e-07
6.349431818181818e-01,9.886363636363636e-01,-2.503407923123794e-07,-1.905047514072457e-07
6.548295454545454e-01,1.136363636363636e-02,4.024448544613857e-07,4.502606207437763e-07
6.548295454545454e-01,3.409090909090909e-02,1.198831665517974e-06,1.429382293836325e-06
6.548295454545454e-01,5.681818181818182e-02,1.923409767566907e-06,2.311457353976100e-06
6.548295454545454e-01,7.954545454545454e-02,2.612706413838118e-06,2.936706270316437e-06
6.548295454545454e-01,1.022727272727273e-01,3.062420012609338e-06,3.342406675520497e-06
6.548295454545454e-01,1.250000000000000e-01,3.458117498797959e-06,3.652685260901498e-06
6.548295454545454e-01,1.477272727272727e-01,3.631968510268053e-06,3.801089626395646e-06
6.548295454545454e-01,1.704545454545454e-01,3.766464882673011e-06,3.863745296017572e-06
6.548295454545454e-01,1.931818181818182e-01,3.753358834920341e-06,3.830785111233659e-06
6.548295454545454e-01,2.159090909090909e-01,3.685572403333575e-06,3.703047840098282e-06
6.548295454545454e-01,2.386363636363636e-01,3.522139929244942e-06,3.522703641124872e-06
6.548295454545454e-01,2.613636363636364e-01,3.297360197159901e-06,3.249237370670664e-06
6.548295454545454e-01,2.840909090909091e-01,3.014569976330103e-06,2.943222194867296e-06
6.548295454545454e-01,3.068181818181818e-01,2.670220594203432e-06,2.568960606663842e-06
6.548295454545454e-01,3.295454545454545e-01,2.296758886508520e-06,2.168187308355731e-06
6.548295454545454e-01,3.522727272727273e-01,1.865383022775342e-06,1.722484204118618e-06
6.548295454545454e-01,3.750000000000000e-01,1.427875593928219e-06,1.255794439616688e-06
6.548295454545454e-01,3.977272727272727e-01,9.400805214019409e-07,7.665127104265174e-07
6.548295454545454e-01,4.204545454545455e-01,4.576539669255433e-07,2.624742805403073e-07
6.548295454545454e-01,4.431818181818182e-01,-5.072292036667918e-08,-2.442700175490280e-07
6.548295454545454e-01,4.659090909090909e-01,-5.473222762584121e-07,-7.549527100608141e-07
6.548295454545454e-01,4.886363636363636e-01,-1.052884291367225e-06,-1.256371604123819e-06
6.548295454545454e-01,5.113636363636364e-01,-1.534060919067775e-06,-1.743567624524325e-06
