iteration,interface_residual
1,1.069870355888378e+08
2,3.040120030838580e-01
3,1.775021283248820e-01
4,1.238188924124426e-01
5,8.889380758114884e-02
6,6.483640583783756e-02
7,4.786804576602002e-02
8,3.567924947082198e-02
9,2.679197041463305e-02
10,2.023371896849710e-02
11,1.534806910452613e-02
12,1.168140066027705e-02
13,8.913709498114018e-03
14,6.815272998371094e-03
15,5.218782080316032e-03
16,4.000947155236587e-03
17,3.070058004330561e-03
18,2.357383195763323e-03
19,1.811107810664332e-03
20,1.391988633637766e-03
21,1.070196224717816e-03
22,8.229927674106655e-04
23,6.330081601041105e-04
24,4.869503452085043e-04
25,3.746345394377565e-04
26,2.882489325444968e-04
27,2.217971112930350e-04
28,1.706733959995595e-04
29,1.313386431487346e-04
30,1.010722914168858e-04
31,7.778245010878173e-05
32,5.986028243418374e-05
33,4.606825692076515e-05
34,3.545433313908014e-05
35,2.728602938627886e-05
36,2.099974603526101e-05
37,1.616180282631291e-05
38,1.243847541894336e-05
39,9.572948477134173e-06
40,7.367586281016732e-06
41,5.670292506435235e-06
42,4.364015172960146e-06
43,3.358671037639314e-06
44,2.584931366538420e-06
45,1.989439870445878e-06
46,1.531132636231799e-06
47,1.178406040900546e-06
48,9.069372135662504e-07
